Théâtres,1861-04-14,1861-04-15,1861-04-16,1861-04-17,1861-04-18,1861-04-18,1861-04-20,14 - 20 avr.
Opéra,,,,,,,,
Théâtre Français,4230,3137.7,2685.3,3548.7,2867.4,2746.1,3296.6,22511.8
Opéra-Comique,3192,4252,1510.5,4527,1441.75,4081.75,3764,22769
Théâtre des Italiens,,4778,6283.4,,5668.6,,9537.9,26267.9
Odéon,1129.5,4411,4315.25,292.75,4283.5,3879.25,3928.5,22239.75
Théâtre-Lyrique,2193.75,1496,2464.25,729.25,2838,1600.5,3422,14743.75
Vaudeville,1788.5,1393,1516,1300,1248.5,1589.5,1401.5,10237
Théâtre des Variétés,2169.5,1279.5,1567.5,1386,1321.5,3896,1460,13080
Gymnase,2793.25,1964,2298.25,1751.5,2024.25,2298,2271,15400.25
Palais-Royal,3014.75,2210.5,2406.25,2201.25,1655.75,2350,1901.75,15740.25
Porte Saint-Martin,2081,852.5,851.5,966,791.5,660.5,,6203
Gaîté,2805.8,1647.85,1601.5,1539.25,1414.25,1544.65,1345.25,11898.55
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,4006.45,1715,1595,1507.5,1363.5,1457,1434,13078.45
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,2105,1901,1533,1638,1335,1635,1541.5,11688.5
Folies Nouvelles,,,,,,,,
Total,31509.5,31038.05,30627.7,21387.2,28253.5,27738.25,35304,205858.2
