Théâtres,1861-10-20,1861-10-21,1861-10-22,1861-10-23,1861-10-24,1861-10-25,1861-10-26,20 - 26 oct.
Opéra,,,,,,,,
Théâtre Français,3957.3,2095.3,3062.8,3030.1,3140.7,2611.6,2798.6,20696.4
Opéra-Comique,3629,3871,3046.5,4176.5,2844.5,4294,2250,24111.5
Théâtre des Italiens,,,7978.9,,4729.85,,7693.55,20402.3
Odéon,1462.25,764.5,801.75,826.5,832.5,371.25,1074.5,6133.25
Théâtre-Lyrique,2444,1884.25,1184.5,2086.5,1233.75,898.25,1033.25,10764.5
Vaudeville,2305,1231,1503,1234.5,1355,1120.5,1107,9856
Théâtre des Variétés,2387,1116.5,1660.5,1383,1323,970,3887,12727
Gymnase,2091,1505.75,1581.5,1600.75,2057.75,1669,1979.25,12485
Palais-Royal,2013.25,1612,1705.45,1601.4,1405,1512.4,909.4,10758.9
Porte Saint-Martin,3037,2944.75,2593.75,2547,2570,2666,2621.25,18979.75
Gaîté,3600.8,2334.55,1955.15,2401.75,2157.5,2004.45,1743,16197.2
Ambigu-Comique,4008,2524,2166,2270.25,2358.25,2509.25,1801.5,17637.25
Théâtre Impérial du Cirque,6189.45,5334.3,4816.7,4883.25,4944.75,5014,4392,35574.45
Folies-Dramatiques,2139.3,1220.5,717.4,759.1,717.85,764.2,,6318.35
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,2048.5,1515.5,1649.5,1523.5,1620.5,1535.5,1525.5,11418.5
Folies Nouvelles,,,,,,,,
Total,41311.85,29953.9,36423.4,30324.1,33290.9,27940.4,34815.8,234060.35
