Théâtres,1861-12-01,1861-12-02,1861-12-03,1861-12-04,1861-12-05,1861-12-06,1861-12-07,1 - 7 déc.
Opéra,,,,,,,,
Théâtre Français,3975.5,3750,3034.8,3722.8,2542.7,3373.4,2086.8,22486
Opéra-Comique,5435,2211.5,2643,3134,1625.25,2565,2659.75,20273.5
Théâtre des Italiens,2716,,6356,,5292,,6537.2,20901.2
Odéon,2440.25,941.25,704,770.5,632.25,464.75,846,6799
Théâtre-Lyrique,3759.75,974,2347.75,537.25,1891.5,435.5,1910.25,11856
Vaudeville,3745,4016.5,3902.5,,3833.5,3901,3929,23327.5
Théâtre des Variétés,3119,1334,1667,1684,1492,1411.5,1318,12025.5
Gymnase,3091.25,1811.5,1852.25,2127.1,,1508.5,2326,12716.6
Palais-Royal,2908.25,1616.5,2009,1836.75,1840.15,1620,1818.7,13649.35
Porte Saint-Martin,5572.75,4474.5,5031,4865.5,4009,4143,4378.25,32474
Gaîté,3223.9,1904.4,1689.05,1588,1202,1060,1000.25,11667.6
Ambigu-Comique,3517.5,2269.75,1376.75,1716,1048.5,1102.75,3003,14034.25
Théâtre Impérial du Cirque,6004.15,4523.15,3564.55,3703,3174.75,3256.5,3573.25,27799.35
Folies-Dramatiques,2048.3,713,,,,,2045.7,4807
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,51556.6,30540.05,36177.65,25684.9,28583.6,24841.9,37432.15,234816.85
