Théâtres,1861-05-19,1861-05-20,1861-05-21,1861-05-22,1861-05-23,1861-05-24,1861-05-25,19 - 25 mai
Opéra,,,,,,,,
Théâtre Français,3028.4,3732,2047.8,3102,2979.5,3006,2368.5,20264.2
Opéra-Comique,3342.5,2008,3851.5,944.5,2471,921,856.5,14395
Théâtre des Italiens,,,,,,,,
Odéon,667.75,3054,2695.75,306,3241.5,157,3256.75,13378.75
Théâtre-Lyrique,1266.5,2208.75,1713.25,1611.5,577.75,2095.25,1432.25,10905.25
Vaudeville,1751.5,1636.5,1267.5,800,322,913.5,533.5,7224.5
Théâtre des Variétés,1217,1189,756.5,782.5,540,795,495.5,5775.5
Gymnase,1811.75,1740.25,1381,1586.5,661.5,990.75,931,9102.75
Palais-Royal,2512.2,1923.5,1710.75,1507.45,1304,1102.9,1017.45,11078.25
Porte Saint-Martin,5436,5602.5,4663.75,4629.75,4178.5,4200.75,3437.5,32148.75
Gaîté,2173.5,2474.25,1104.5,931.65,760,836.25,562.75,8842.9
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,3204.5,4530.6,2007.1,1186.6,1005.25,1200.05,750.25,13884.35
Folies-Dramatiques,891.5,830.8,1016.5,293,201.75,381.9,,3615.45
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,27303.1,30930.15,24215.9,17681.45,18242.75,16600.35,15641.95,150615.65
