Théâtres,1861-11-10,1861-11-11,1861-11-12,1861-11-13,1861-11-14,1861-11-15,1861-11-16,10 - 16 nov.
Opéra,,,,,,,,
Théâtre Français,4319.9,1979.5,2875.2,2844.5,3333.7,3010.7,3231.3,21594.8
Opéra-Comique,3468,3082,2395.5,3261.5,2266,3595,2567.5,20635.5
Théâtre des Italiens,4025.5,,5161,,6911.3,,8086,24183.8
Odéon,2241.75,907,473.75,784.75,1601.25,802,1610,8420.5
Théâtre-Lyrique,2118.75,2183.75,684.25,2185,849,2196.75,456.25,10673.75
Vaudeville,1727,845,823,,,,1654.5,5049.5
Théâtre des Variétés,3131.5,1409.5,1056.5,1378,1355,1436,1184.5,10951
Gymnase,3541.25,2647.75,2495.75,2690.75,2646.75,2790,2699.5,19511.75
Palais-Royal,2004.5,1213,912.7,1053.4,1001.9,2013.5,1504.5,9703.5
Porte Saint-Martin,4195.25,2878.75,1713.5,,,,2653,11440.5
Gaîté,3851.35,2636.2,2564.4,2647.4,2623.3,2630.95,1722.65,18676.25
Ambigu-Comique,4011,2616.75,1911.75,2507.25,2206,2205.75,1735.75,17194.25
Théâtre Impérial du Cirque,6450.1,4539.85,4005.4,4403.75,4127.25,4547.25,4002.75,32076.35
Folies-Dramatiques,2139.15,,640.2,,550,,560.35,3889.7
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,47225,26939.05,27712.9,23756.3,29471.45,25227.9,33668.55,214001.15
