Théâtres,1861-11-03,1861-11-04,1861-11-05,1861-11-06,1861-11-07,1861-11-08,1861-11-09,3 - 9 nov.
Opéra,,,,,,,,
Théâtre Français,4209.5,2479.5,2403,2232.5,2675.4,2764.2,2055.5,18819.6
Opéra-Comique,3115.5,2333.5,1543.5,2458,2863.5,2996,1121,16431
Théâtre des Italiens,,,5575.5,,5511.8,,6308.5,17395.8
Odéon,1382,410.5,433.5,288.75,1177.25,707.25,652.25,5051.5
Théâtre-Lyrique,2320,744.25,2002,639,857.25,629.25,1373.25,8565
Vaudeville,1601,847.5,715.5,654.5,1166,807.5,1088,6880
Théâtre des Variétés,2947.5,1116.5,1146.5,1584,2149.5,1900.5,2053,12897.5
Gymnase,3498,2498,2332,1805.35,,2547.5,2816.25,15497.1
Palais-Royal,2626.25,1030.1,1642.5,1208.95,1411.9,1104.7,1309.65,10334.05
Porte Saint-Martin,3398.25,2513,2299,2816.5,2328.5,2439.25,2948.5,18743
Gaîté,3505.05,2238.4,2018.9,2501.75,2130.8,,2002.5,14397.4
Ambigu-Comique,3730,,,2417.25,2374,2441,1861,12823.25
Théâtre Impérial du Cirque,6324.75,4612.65,4166,4182.25,4504.5,4601.25,4337.5,32728.9
Folies-Dramatiques,1913.65,1028,552.55,687.55,1873.35,,901.05,6956.15
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1900.5,2263,1393,1141.5,1615,1858,,10171
Folies Nouvelles,,,,,,,,
Total,42471.95,24114.9,28223.45,24617.85,32638.75,24796.4,30827.95,207691.25
