Théâtres,1861-08-11,1861-08-12,1861-08-13,1861-08-14,1861-08-15,1861-08-16,1861-08-17,11 - 17 août 
Opéra,,,,,,,,
Théâtre Français,751,312.4,1308.8,828,,638.3,1738.1,5576.6
Opéra-Comique,640.5,575.25,733.5,521,,1167.5,890,4527.75
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,298,212,313,231.5,,582.5,,1637
Théâtre des Variétés,,,,,,,325.5,325.5
Gymnase,277.75,303.25,311.25,431.75,,480,626.5,2430.5
Palais-Royal,144.8,153.8,314.55,403,,,452,1468.15
Porte Saint-Martin,,,,,,3028.25,3111.5,6139.75
Gaîté,363,263,414,285.5,,531.65,517.4,2374.55
Ambigu-Comique,503.75,401,380.71,525,,462,600.75,2873.21
Théâtre Impérial du Cirque,,2418.7,3004.25,3002.25,,4606.75,4860,17891.95
Folies-Dramatiques,,312.45,335.9,252.2,,372.6,545.35,1818.5
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,2978.8,4951.85,7115.96,6480.2,0,11869.55,13667.1,47063.46
