Théâtres,1861-08-25,1861-08-26,1861-08-27,1861-08-28,1861-08-29,1861-08-30,1861-08-31,25 - 31 août 
Opéra,,,,,,,,
Théâtre Français,1667.9,392.4,1273.2,889.3,1032.3,628.7,620,6503.8
Opéra-Comique,1390.5,1691.5,1995,681.25,749,638.5,1094.75,8240.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,672,786.5,423,360.5,377,253,535.5,3407.5
Théâtre des Variétés,2122,2024.6,1704,1393.5,1319.5,1160.5,1334.5,11058.6
Gymnase,1869,1321,997.5,752,678,980.75,822,7420.25
Palais-Royal,1818,1604.75,1652.75,1302.5,1257.25,1318.25,1200,10153.5
Porte Saint-Martin,2632.25,2855,2551,2871.25,,2556.75,2461.25,15927.5
Gaîté,1400.4,,,,,1953.75,1134.4,4488.55
Ambigu-Comique,2329.75,1767.75,1501,1325.25,1301.5,1101.75,803.25,10130.25
Théâtre Impérial du Cirque,5502.7,4921.35,4581.9,4259,4408.45,3710.39,3308.8,30692.59
Folies-Dramatiques,1438.4,938.15,653.35,560.7,482.4,502.1,504.85,5079.95
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,22842.9,18303,17332.7,14395.25,11605.4,14804.44,13819.3,113102.99
