Théâtres,1861-05-05,1861-05-06,1861-05-07,1861-05-08,1861-05-09,1861-05-10,1861-05-11,5 - 11 mai
Opéra,,,,,,,,
Théâtre Français,4554.8,3063.5,3704.4,2983.7,4427,3161.9,3599.4,25494.7
Opéra-Comique,4323,2110,2774,1440.5,2869.5,1711,4792.5,20020.5
Théâtre des Italiens,,,,,,,,
Odéon,1369.25,3161.5,2859,248.25,4108.25,269,3310.75,15326
Théâtre-Lyrique,2781.5,1175.5,3164.75,7702,3790.25,1680.75,754.75,21049.5
Vaudeville,2798.5,790,1912.5,1756.5,1625,1789,1547.5,12219
Théâtre des Variétés,3168,1448,1184.5,1103.5,2053,1206.5,1282,11445.5
Gymnase,3936.75,2737.75,2827.75,2783,2191,2611,2517.25,19604.5
Palais-Royal,3210,2314.75,1910.2,1808.75,2551.75,2105.5,1860.45,15761.4
Porte Saint-Martin,6040.25,5824.25,5714.75,6007.75,5921.5,5845.5,5737,41091
Gaîté,3455.1,2358.4,1976.25,1958.9,2629.95,1925.5,1466.5,15770.6
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,5258.35,2618.45,2342.25,2043.5,3353.2,1727,1308.25,18651
Folies-Dramatiques,2066.95,976.6,926.55,850.1,1244.7,633.7,560.9,7259.5
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1948,1377.5,1201,1163,1621.5,1448,,8759
Folies Nouvelles,,,,,,,,
Total,44910.45,29956.2,32497.9,31849.45,38386.6,26114.35,28737.25,232452.2
