Théâtres,1861-07-21,1861-07-22,1861-07-23,1861-07-24,1861-07-25,1861-07-26,1861-07-27,21 - 27 juil.
Opéra,,,,,,,,
Théâtre Français,1529.1,917.6,1082,870.6,1179.8,3402.5,2176.5,11158.1
Opéra-Comique,2482,2794.5,1237,4216.5,814.75,1640.2,920,14104.95
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,485,415,,527,326,542,900,3195
Théâtre des Variétés,987,,704,931.25,411.25,,,3033.5
Gymnase,1284.25,826.75,1731.25,788.25,788.25,1269.25,1604.75,8292.75
Palais-Royal,1212,533.5,1009.45,742.95,610,805.1,1800.4,6713.4
Porte Saint-Martin,2667,1839.25,2234.25,2015.5,1453.5,1631,1698.9,13539.4
Gaîté,1953.4,864.65,966.25,838.9,601.75,702.5,746.9,6674.35
Ambigu-Comique,2008.25,926.25,1008.25,1008.25,801.25,919.25,1001.5,7673
Théâtre Impérial du Cirque,,,,,,,3142.5,3142.5
Folies-Dramatiques,,,,417.1,322.3,,,739.4
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,14608,9117.5,9972.45,12356.3,7308.85,10911.8,13991.45,78266.35
