Théâtres,1861-03-17,1861-03-18,1861-03-19,1861-03-20,1861-03-21,1861-03-22,1861-03-23,17 - 23 mar.
Opéra,,,,,,,,
Théâtre Français,3890.7,3664.3,2037.9,4093.5,3146.6,2111.4,3856.3,22800.7
Opéra-Comique,4353.5,1957,4344,1464.99,4751,1431.5,4181,22482.99
Théâtre des Italiens,5186,3418,6791.7,,6038.8,,7654.5,29089
Odéon,1639,638.75,489.25,586.25,2436.75,517.75,613.5,6921.25
Théâtre-Lyrique,3357,935.25,1808.25,1626.75,2122.25,750.25,2385.5,12985.25
Vaudeville,1927,2080,2294.5,2807.5,2196,2696,2242.5,16243.5
Théâtre des Variétés,2603.5,1004.5,1031.5,1231.5,717.5,947,4328,11863.5
Gymnase,3008.5,1551.5,1658,2049.75,1893.25,1654.5,1667,13482.5
Palais-Royal,3504,2906.25,3009.75,3009.25,2804.5,2729.25,2406.7,20369.7
Porte Saint-Martin,4152.25,3326.25,3448.25,3884.25,3891.75,,,18702.75
Gaîté,3169,1286.65,1375.15,,1839.4,2015.25,1678.95,11364.4
Ambigu-Comique,,,,,,,,0
Théâtre Impérial du Cirque,3171.8,1659.3,,,,3473.5,3784.1,12088.7
Folies-Dramatiques,1621.75,,584.15,884.65,1174.35,810.25,577.45,5652.6
Délassement Comiques,,,,,,,,0
Luxembourg,,,,,,,,0
Beaumarchais,,,,,,,,0
Bouffes Parisiens,1233.5,1077.5,,,,,1278,3589
Folies Nouvelles,,,,,,,,0
Total,42817.5,25505.25,28872.4,21638.39,33012.15,19136.65,36653.5,207635.84
