Théâtres,1861-03-03,1861-03-04,1861-03-05,1861-03-06,1861-03-07,1861-03-08,1861-03-09,3 - 9 mar.
Opéra,,,,,,,,
Théâtre Français,3667.2,4659,2504.5,4775.6,4779.9,4430.8,4538.3,29355.3
Opéra-Comique,4989.5,1492.5,5576,676.25,6301,1570.5,5547.75,26153.5
Théâtre des Italiens,,,7619.7,,6113.3,,7280,21013
Odéon,2647.75,1149,896.25,666.75,1732,785.75,733.25,8610.75
Théâtre-Lyrique,4201.5,1111.25,1975.25,850.25,3545.75,473.25,2200,14357.25
Vaudeville,1765.5,910.5,744.5,1306,2168,1005.5,1268,9168
Théâtre des Variétés,3221,1489.5,1907.5,1961,3308.5,1827.5,2042,15757
Gymnase,3542,2424.75,2579.5,2475.75,3520.25,2414.25,2650.5,19607
Palais-Royal,3807.25,3226.75,3314.25,3205.75,3720.25,3300,3203.95,23778.2
Porte Saint-Martin,4628,3329,,3568.25,4850.5,3495.75,3760.75,23632.25
Gaîté,2915.9,1905.25,1351.75,1091,2108.9,1117.65,755.25,11245.7
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,4682.65,2469.9,2236,1912.7,2092.4,,1790,15183.65
Folies-Dramatiques,2013.55,1052.25,691.25,,1801.6,639.75,663.55,6861.95
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1663.5,1393,1220.5,1422.5,1867,1213.5,1027.5,9807.5
Folies Nouvelles,,,,,,,,
Total,43745.3,26612.65,32616.95,23911.8,47909.35,22274.2,37460.8,234531.05
