Théâtres,1861-03-24,1861-03-25,1861-03-26,1861-03-27,1861-03-28,1861-03-29,1861-03-30,24 - 30 mar.
Opéra,,,,,,,,
Théâtre Français,2845.6,3072.4,8968.6,709.3,,,,15595.9
Opéra-Comique,2270.5,2500,1300.5,3039.5,,,,9110.5
Théâtre des Italiens,3531.5,,6129.29,,6785,,8305.05,24750.84
Odéon,1036.5,2335,2468.25,3040.5,,,,8880.25
Théâtre-Lyrique,1273,300.75,1073.25,1056.25,1005.5,,915,5623.75
Vaudeville,1636,1614,1482,1334.5,1469,,1564,9099.5
Théâtre des Variétés,1442.5,1131,1196.5,1333,973,,1466.5,7542.5
Gymnase,1939.25,1229.25,1436.5,1124,1404,,,7133
Palais-Royal,2506.5,2216,2010,2013.5,2014.75,,2518.05,13278.8
Porte Saint-Martin,,,,,,,2300.5,2300.5
Gaîté,2546.5,1823,1889.4,1662.4,1756.5,,1560,11237.8
Ambigu-Comique,,,,,,,,0
Théâtre Impérial du Cirque,6170.25,4347.45,4003,3466.75,3338.6,,,21326.05
Folies-Dramatiques,1228.1,713.75,,480.9,405.13,,374.3,3202.18
Délassement Comiques,,,,,,,,0
Luxembourg,,,,,,,,0
Beaumarchais,,,,,,,,0
Bouffes Parisiens,1545,1336.5,1709.5,1731.5,1702,,1786,9810.5
Folies Nouvelles,,,,,,,,0
Total,29971.2,22619.1,33666.79,20992.1,20853.48,0,20789.4,148892.07
