Théâtres,1861-07-07,1861-07-08,1861-07-09,1861-07-10,1861-07-11,1861-07-12,1861-07-13,7 - 13 juil.
Opéra,,,,,,,,
Théâtre Français,3258.8,2077.9,1524.9,2251.4,1132.5,1261.2,1449.7,12956.4
Opéra-Comique,4176,1420,775,4328,920.5,2860,1528,16007.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,1885.5,1804,1119.5,1131,797.5,1091,929,8757.5
Théâtre des Variétés,2290.5,1785.5,1337,1222,1030.5,1207,1157.5,10030
Gymnase,1909.75,843,710.25,878,752,772.5,747.5,6613
Palais-Royal,2410,1504.75,1410.5,1104.25,903.7,804.75,1016,9153.95
Porte Saint-Martin,4534.5,3197.5,2665,2422.5,2342.25,2068,3929.75,21159.5
Gaîté,2524.2,1265.15,825.5,941.65,912.25,705.65,701.75,7876.15
Ambigu-Comique,3394.25,2028.25,1606.75,1407.5,1200.75,1105.5,1604.5,12347.5
Théâtre Impérial du Cirque,2868.8,1137.5,1401.5,900.25,675,820.5,678,8481.55
Folies-Dramatiques,1531.4,702.2,642,601.15,521.45,449.4,,4447.6
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,30783.7,17765.75,14017.9,17187.7,11188.4,13145.5,13741.7,117830.65
 ,,,,,,,,
