Théâtres,1861-10-27,1861-10-28,1861-10-29,1861-10-30,1861-10-31,1861-11-01,1861-11-02,27 - 31 oct.,1 - 2 nov.
Opéra,,,,,,,,,
Théâtre Français,4046.4,3106,2399.6,2791.1,2085.7,4761.7,2354.9,14428.8,7116.6
Opéra-Comique,3535,3858,954.5,3835.5,1425,4899,1453,13608,6352
Théâtre des Italiens,,,7604.6,,6896.45,,6978.3,14501.05,6978.3
Odéon,2200,699,642.35,658,773.5,1946,597.25,4972.85,2543.25
Théâtre-Lyrique,2365.25,"7.40,25",676.25,667.5,759.75,2091,1209.75,4468.75,3300.75
Vaudeville,2118,921.5,806,1279.5,1117.5,1746.5,935.5,6242.5,2682
Théâtre des Variétés,3444,1722,1555.5,1496.5,1545,2773,1608,9763,4381
Gymnase,3105.75,1691.25,1789.5,1777.75,2361,3420.25,2277.5,10725.25,5697.75
Palais-Royal,2121.25,1004.6,1208.7,1003.95,1111.45,2211.7,1804.85,6449.95,4016.55
Porte Saint-Martin,2981.25,2207.5,1765,1892.75,2609.5,3263.75,2621.5,11456,5885.25
Gaîté,3302.25,2063.75,1104,1851.05,1914.65,3053.9,1948.75,10235.7,5002.65
Ambigu-Comique,3858,2200.75,,1339.65,1902.5,3600.5,2109.25,9300.9,5709.75
Théâtre Impérial du Cirque,6131.45,4071.95,3088.25,3401.25,,6559.95,5008.8,16692.9,11568.75
Folies-Dramatiques,1909.6,707.55,,,,1807.5,,2617.15,1807.5
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,1917.5,1136,1337.5,1161,1270,,1627,6822,1627
Folies Nouvelles,,,,,,,,,
Total,43035.7,25389.85,24931.75,23155.5,25772,42134.75,32534.35,142284.8,74669.1
 ,,,,,,,,,
