Théâtres,1861-08-18,1861-08-19,1861-08-20,1861-08-21,1861-08-22,1861-08-23,1861-08-24,18 - 24 août 
Opéra,,,,,,,,
Théâtre Français,1112.5,540.9,1243.7,1067.1,583.4,1031.9,977.7,6557.2
Opéra-Comique,778.5,882,1194.5,907,1528.5,1754.5,1318.5,8363.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,242.5,273,461.5,312,405.5,267.5,543.5,2505.5
Théâtre des Variétés,,1276,1634.5,1784.5,1632.5,1449,1780,9556.5
Gymnase,429.5,782.5,903,1042,763.21,764,1144.5,5828.71
Palais-Royal,,401.5,1850.45,1718.45,1325.25,1712.4,1805,8813.05
Porte Saint-Martin,1948.5,2739.25,3511.5,3311.25,2831.5,2907.5,3010,20259.5
Gaîté,441,654,621.5,605.75,391.75,468.25,537.15,3719.4
Ambigu-Comique,492.5,,,1422.5,1006.25,1115.5,1202,5238.75
Théâtre Impérial du Cirque,3357.6,4253.75,4686.25,4537.5,4270.1,4108.76,4132,29345.96
Folies-Dramatiques,633.85,536.9,,659.1,594.95,600.65,603.3,3628.75
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,9436.45,12339.8,16106.9,17367.15,15332.91,16179.96,17053.65,103816.82
