Théâtres,1861-07-14,1861-07-15,1861-07-16,1861-07-17,1861-07-18,1861-07-19,1861-07-20,14 - 20 juil.
Opéra,,,,,,,,
Théâtre Français,2278.1,1388.6,1714.5,971.6,936.5,1576.2,1535.4,10400.9
Opéra-Comique,2129.5,2842.5,1903.5,3331,956,2739,639,14540.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,785.5,878,951,751.5,838.5,523.5,606.5,5334.5
Théâtre des Variétés,1042.5,907.5,1180,1183,749,736,,5798
Gymnase,1054,565.5,1036,,,515.25,652,3822.75
Palais-Royal,1212,649.75,919.9,806,702,610,605.9,5505.55
Porte Saint-Martin,,2103,2657.5,2552.25,1921.25,2072.75,1517,12823.75
Gaîté,1276.3,1408.75,1701.4,1304.65,883.75,842.25,1000.65,8417.75
Ambigu-Comique,2207.25,1127.25,1803.5,1304.25,1103.5,906.25,1001,9453
Théâtre Impérial du Cirque,1902.45,980.5,,,,,,2882.95
Folies-Dramatiques,921.7,,,503.45,,,,1425.15
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,14809.3,12851.35,13867.3,12707.7,8090.5,10521.2,7557.45,80404.8
