Théâtres,1861-02-10,1861-02-11,1861-02-12,1861-02-13,1861-02-14,1861-02-15,1861-02-16,10 - 16 fév.
Opéra,,,,,,,,
Théâtre Français,5198.6,6081.1,6222,4628.3,1892.8,5030.3,5099.8,34152.9
Opéra-Comique,4516,6154,5824,5797,2560,5794.25,5587.5,36232.75
Théâtre des Italiens,3108.8,,9205.2,,7087,,7810.3,27211.3
Odéon,1863.5,1448.5,2652.5,316.75,526,543.5,813.75,8164.5
Théâtre-Lyrique,4747,,5135.75,854.5,2190.75,,2364.25,15292.25
Vaudeville,3014,2821,4125.5,1109,1725,1418.5,1632.5,15845.5
Théâtre des Variétés,3214.5,3049.5,3656.5,1770,1774,2926.5,1819.5,18210.5
Gymnase,3005,3684.25,4000,2098.5,1768.25,1702.5,1988.5,18247
Palais-Royal,3618.75,3629.75,3708.25,3215.75,3315.75,3310.75,3402.75,24201.75
Porte Saint-Martin,5669.5,5810.5,6014.5,,,3846,3945.5,25286
Gaîté,3814.3,3337.5,3815.4,2413.5,2672.9,2101.15,,18154.75
Ambigu-Comique,3477.25,3168.25,3664.75,2030.25,2059,1605.75,1405.25,17410.5
Théâtre Impérial du Cirque,6004.35,5524.2,6248.05,2593.3,2967.5,2308.75,2411.45,28057.6
Folies-Dramatiques,,1666.5,2134.65,1036.4,819.2,655.2,,6311.95
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1872.5,2000,2305,1048.5,1325.5,1507.5,1518.5,11577.5
Folies Nouvelles,,,,,,,,
Total,53124.05,48375.05,68712.05,28911.75,32683.65,32750.65,39799.55,304356.75
