Théâtres,1861-09-08,1861-09-09,1861-09-10,1861-09-11,1861-09-12,1861-09-13,1861-09-14,8 - 14 sept.
Opéra,,,,,,,,
Théâtre Français,1491.9,1460.1,1594.6,850.6,1548.1,1086.2,1484.4,9515.9
Opéra-Comique,3375.5,1327,1561.25,997.5,1381,1628,2214,12484.25
Théâtre des Italiens,,,,,,,,
Odéon,964.25,413.5,471,412.25,325,787.5,422.25,3795.75
Théâtre-Lyrique,1481.25,811.5,1866.75,800.75,2005.5,828.25,2695.25,10489.25
Vaudeville,1155,640,714,773,669,941,717,5609
Théâtre des Variétés,1687.5,1538,1421.5,1661,1386.5,1601.5,1603.5,10899.5
Gymnase,1087.75,1238.75,1305.5,1066.5,1196.5,1286.25,1080,8261.25
Palais-Royal,1566.75,1304.5,1505.5,1311,"1,307,25",1454,1307.45,8449.2
Porte Saint-Martin,2527,2612.5,2676.5,2451.5,2595.75,2969.5,2583.75,18416.5
Gaîté,2206.5,1973.55,1524.75,1259,913.5,1147,960,9984.3
Ambigu-Comique,2000.75,1465.21,1417.75,1145.25,1300.75,1319,1004,9652.71
Théâtre Impérial du Cirque,,4643.5,4719.65,4502.9,4400.3,4835.45,4555.8,27657.6
Folies-Dramatiques,1128.95,746.15,616.35,682.9,656.35,534.9,705.75,5071.35
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,1417,1417
Folies Nouvelles,,,,,,,,
Total,20673.1,20174.26,21395.1,17914.15,18378.25,20418.55,22750.15,141703.56
