Théâtres,1861-06-16,1861-06-17,1861-06-18,1861-06-19,1861-06-20,1861-06-21,1861-06-22,16 - 22 juin.
Opéra,,,,,,,,
Théâtre Français,1091.2,596.4,1080.5,580,758.7,580.1,1395.1,6082
Opéra-Comique,1612.5,599.5,659.25,324,503.5,660,278.25,4637
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,173.5,210,143,107.5,,,80,714
Théâtre des Variétés,306.5,225,796.5,275.5,336.5,283,693,2916
Gymnase,241,490.75,273.5,193,216,151.5,543.5,2109.25
Palais-Royal,351.3,325.8,253.5,252.75,203.8,326.5,326.1,2039.75
Porte Saint-Martin,1886,1411.25,1111.25,1105.25,895,980.25,947,8336
Gaîté,662.75,,282.75,271.25,242.75,178,350.65,1988.15
Ambigu-Comique,301.75,,,,,,1309.5,1611.25
Théâtre Impérial du Cirque,1220.9,600,390.5,420.5,466.25,277.25,533.75,3909.15
Folies-Dramatiques,442.7,314.7,132.5,149,88.4,157.4,221.85,1506.55
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,8290.1,4773.4,5123.25,3678.75,3710.9,3594,6678.7,35849.1
