Théâtres,1861-05-12,1861-05-13,1861-05-14,1861-05-15,1861-05-16,1861-05-17,1861-05-18,12 - 18 mai
Opéra,,,,,,,,
Théâtre Français,3145.7,3127.6,2844.6,3347,2481.9,3355.2,2897.5,21199.5
Opéra-Comique,3566,1491,4087,916.5,3598.5,1556.5,4304,19519.5
Théâtre des Italiens,,,,,,,,
Odéon,1059.25,2520.5,2464.25,3641.25,2171.5,361,2851.25,15069
Théâtre-Lyrique,1568.25,1476.5,2562.75,634,1901.5,10162.5,2633.25,20938.75
Vaudeville,1832,1407,1102.5,1180,968.5,1847.5,1580.5,9918
Théâtre des Variétés,1889.5,1233,1100.5,958.5,688,,1292,7161.5
Gymnase,2409,2265.5,2009.25,2110,1505.75,2216.75,2044,14560.25
Palais-Royal,2008.75,2215.75,1521.7,1317.2,1103.75,3321.5,1810,13298.65
Porte Saint-Martin,5770.25,5609.5,5722.25,5430,5593.75,5464.5,5366.75,38957
Gaîté,2588.5,1709.9,1500.75,1389.05,1167.5,1411.25,1353.55,11120.5
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,3224.6,2404.55,1709.75,1614.25,1725.25,1850.25,2002.35,14531
Folies-Dramatiques,,722.2,494.95,401.85,298.55,508.65,,2426.2
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,29061.8,26183,27120.25,22939.6,23204.45,32055.6,28135.15,188699.85
