Théâtres,1861-01-06,1861-01-07,1861-01-08,1861-01-09,1861-01-10,1861-01-11,1861-01-12,6 - 12 jan.
Opéra,,,,,,,,
Théâtre Français,2896.8,1338.7,1222.8,1683.6,2144.5,1656.7,4166.2,15109.3
Opéra-Comique,3351.5,1488.5,1448.5,747.27,876.5,1081.75,620,9614.02
Théâtre des Italiens,2670.5,,6791,,5339.7,,6997.7,21798.9
Odéon,1072.75,827.5,439.75,443,200.75,651.25,266.75,3901.75
Théâtre-Lyrique,1772.5,866,838.75,755,2699.75,848.5,2051.25,9831.75
Vaudeville,2672,2652,2981,2385.5,2575,2496,2702,18463.5
Théâtre des Variétés,4002.5,3527,3406.5,3472,3536,3400.5,3373.5,24718
Gymnase,2133,1700,1650,1371,1530,1823.5,1375.75,11583.25
Palais-Royal,1706.4,1314.2,1421.7,1107.5,1436.95,1219.45,1210.1,9416.3
Porte Saint-Martin,,,,4346,4062.5,4002.25,4202,16612.75
Gaîté,1766.3,1050.75,1065,783,1568.5,1118,1133.75,8485.3
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,6250.3,5446.95,,,5239.65,5207.1,4609.4,26753.4
Folies-Dramatiques,2046.75,1544.75,,1347.85,1270,1284.85,1464.7,8958.9
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,719.5,738,705.5,1058.5,982.5,1246,1049,6499
Folies Nouvelles,,,,,,,,
Total,33060.8,22494.35,21970.5,19500.22,33462.3,26035.85,35222.1,191746.12
