Théâtres,1862-04-27,1862-04-28,1862-04-29,1862-04-30,1862-05-01,1862-05-02,1862-05-03,27 - 30 avr.,1 - 3 mai
Opéra,,,,,,,,,
Théâtre Français,4158.9,1757.5,1843.2,1196.2,1906.8,2000.9,1451.5,8955.8,5359.2
Opéra-Comique,5837,1661.5,2278,1193,1323,2247.5,2128.5,10969.5,5699
Théâtre des Italiens,,4346,7009,6284.5,,,,17639.5,
Odéon,1471.25,368,2027.25,223.75,120.25,132.5,500,4090.25,752.75
Théâtre-Lyrique,1482.25,3084.5,2695.75,551.75,2054.75,477.25,1952.25,7814.25,4484.25
Vaudeville,1693.5,1185.5,907,643,462,,569,4429,1031
Théâtre des Variétés,2964,1248,1171.5,924.5,792,1110.5,658,6308,2560.5
Gymnase,3255.5,2568.25,2192.25,2555.25,1195,1437.25,1239.5,10571.25,3871.75
Palais-Royal,2010.75,1227,918.4,1060.25,1010.9,1007.65,712.9,5216.4,2731.45
Porte Saint-Martin,,,,,,,1556,,1556
Gaîté,2454.5,1106,918.7,644,551.75,805.5,448.5,5123.2,1805.75
Ambigu-Comique,3072,2151.25,2140.25,1801.25,1807.5,2003.5,1715.75,9164.75,5526.75
Théâtre Impérial du Cirque,6737.4,5337.75,4765.5,3924.25,4553,4486.5,3514,20764.9,12553.5
Folies-Dramatiques,1742.75,579.15,594.35,403.25,357.1,469.4,328.75,3319.5,1155.25
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,1675.5,845.5,608.5,355,371,,,3484.5,371
Folies Nouvelles,,,,,,,,,
Total,38555.3,27465.9,30069.65,21759.95,16505.05,16178.45,16774.65,117850.8,49458.15
