Théâtres,1862-06-01,1862-06-02,1862-06-03,1862-06-04,1862-06-05,1862-06-06,1862-06-07,1 - 7 juin
Opéra,,,,,,,,
Théâtre Français,1868.7,1447,1915.5,853.7,1709,1325,1304.7,10423.6
Opéra-Comique,1962.5,1225.5,6157,816,5884.5,1661,5711,23417.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,427,477,435,210,,361,173,2083
Théâtre des Variétés,1269,1233,961.5,537,806.5,538,409,5754
Gymnase,824.5,874.75,531.25,628,1220,771.5,778.25,5628.25
Palais-Royal,1615.5,1304.65,1110.95,706.15,625.8,543.4,561.8,6468.25
Porte Saint-Martin,1606,,1009.5,743,725,579.75,659,5322.25
Gaîté,1659.15,1242.25,780,939.65,929.75,749.5,515.65,6815.95
Ambigu-Comique,2011,2107.5,1409.5,1411,1139,1040,825.75,9943.75
Théâtre Impérial du Cirque,2738.1,2652.65,2366.05,2273,1846,2034,2017.25,15927.05
Folies-Dramatiques,579.3,333.9,170.5,460.2,266.4,272.35,166.6,2249.25
Délassement Comiques,630,1244,597,349,532,526,,3878
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,17190.75,14142.2,17443.75,9926.7,15683.95,10401.5,13122,97910.85
