Théâtres,1862-08-24,1862-08-25,1862-08-26,1862-08-27,1862-08-28,1862-08-29,1862-08-30,24 - 30 août
Opéra,,,,,,,,
Théâtre Français,1462.7,1492.9,2013.9,2178.3,2799.6,1609.4,2742.4,14299.2
Opéra-Comique,1644,1732,2341,2451.25,4005.5,2744,3195.75,18113.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,764,710.5,621.5,1333.5,1241,1167,1085,6922.5
Théâtre des Variétés,973,,,2089,2822,3314.5,2552.5,11751
Gymnase,704.5,472.75,778.25,1203,1289,1691.5,1075,7214
Palais-Royal,1215,1055.2,1177.95,2038,2112.2,2115,1305.7,11019.05
Porte Saint-Martin,1498.75,1176.75,1323,1328.75,1612,1963,1553.25,10455.5
Gaîté,,,,,,,,
Ambigu-Comique,2579.25,1742.25,1604,1836,1858.25,2021.5,1825.75,13467
Théâtre Impérial du Cirque,7004,7312.5,7826.75,7717,8160,8056.75,8002.5,54079.5
Folies-Dramatiques,,,,,,,,
Délassement Comiques,180,146,577,558,376,649,296,2782
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,18025.2,15840.85,18263.35,22732.8,26275.55,25331.65,23633.85,150103.25
