Théâtres,1862-05-11,1862-05-12,1862-05-13,1862-05-14,1862-05-15,1862-05-16,1862-05-17,11 - 17 mai
Opéra,,,,,,,,
Théâtre Français,2287.7,2662.9,2954.2,1992.5,2349.5,1015.9,3669.6,16932.3
Opéra-Comique,3910.5,2526.5,1801,3744.5,2902,5357,1387.5,21629
Théâtre des Italiens,,,,,,,,
Odéon,1247.75,658.5,763.75,785.25,724.25,482.5,636.25,5298.25
Théâtre-Lyrique,1125.25,538.25,2626.25,405,2631.5,442.25,2663.75,10432.25
Vaudeville,945,741,905.5,754.5,791.5,800,634.5,5572
Théâtre des Variétés,1418,1125.5,1639,1245.5,1476.5,1776.5,1241,9922
Gymnase,1675.5,1498,1.589.25,1879,1734,1665.25,1285.5,9737.25
Palais-Royal,2019.5,1522,2111.35,1402.6,1411,1501.2,1222.15,11189.8
Porte Saint-Martin,2667.5,1628.5,2086,1888.75,2035.5,2006.75,1772,14085
Gaîté,3142.3,1712.4,2007.5,2188.9,1851.55,1987.9,1580.05,14470.6
Ambigu-Comique,3444.75,2404.25,2700.5,2566.25,1605.25,2806.25,2360.25,17887.5
Théâtre Impérial du Cirque,4809.4,3713.1,4010,3908,4185,3871.75,3620.5,28117.75
Folies-Dramatiques,1105.05,1132.65,532.1,641.95,,622.55,421.6,4455.9
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,29798.2,21863.55,24137.15,23402.7,23697.55,24335.8,22494.65,169729.6
