Théâtres,1862-07-06,1862-07-07,1862-07-08,1862-07-09,1862-07-10,1862-07-11,1862-07-12,06 - 12  juil.
Opéra,,,,,,,,
Théâtre Français,2413.1,1983.1,1973.2,1175.8,1696.9,2135.6,1934.1,13311.8
Opéra-Comique,2581.75,1845,5498,722.5,5392.5,1805.5,6032.5,23877.75
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,1252,452,418,353,409,465.5,1903,5252.5
Théâtre des Variétés,3142,2415,2076.5,1308,1669.5,1834.5,2495.5,14941
Gymnase,2500.75,1341,993.75,540.5,736,950,1201.75,8263.75
Palais-Royal,2008,1013.2,932.35,444.3,632,611.6,1906.65,7548.1
Porte Saint-Martin,2966.25,1772,1834.5,969,1183.25,1539.5,1407.75,11672.25
Gaîté,2441.2,1456.65,1101.4,824.15,867.3,1101.05,1268.25,9060
Ambigu-Comique,2303.5,1308.25,1208,872.5,989.75,1200.25,,7882.25
Théâtre Impérial du Cirque,3225.5,2751.5,2506.75,1859.25,1976.5,2458.25,,14777.75
Folies-Dramatiques,1157.35,748.15,603.35,393.8,996.3,535.65,607.6,5042.2
Délassement Comiques,809,341,393,161,254,,539,2497
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,26800.4,17426.85,19538.8,9623.8,16803,14637.4,19296.1,124126.35
