Théâtres,1862-02-09,1862-02-10,1862-02-11,1862-02-12,1862-02-13,1862-02-14,1862-02-15,9 - 15 fév.
Opéra,,,,,,,,
Théâtre Français,3763.9,3780.9,2713.1,3838.9,2357.1,3867.2,2737.1,23058.2
Opéra-Comique,4133.5,1932,2732,1645.5,2100.5,2641.4,,15184.9
Théâtre des Italiens,2981,,7196.8,,7673.2,,8023,25874
Odéon,1940.75,1012.5,1035.75,951,1007.25,1005.5,1120,8072.75
Théâtre-Lyrique,2765.75,952,1181.5,1333,1301.75,1266,1410.5,10210.5
Vaudeville,2654.5,2119.5,2366.5,2722,2816,2749,2588,18015.5
Théâtre des Variétés,2246.5,1415.5,1522,1404,1467.5,1649.5,5286.5,14991.5
Gymnase,2749.75,2307.5,1890.5,2326.25,1933.75,2539,2210,15956.75
Palais-Royal,2816.5,1506,1510.75,1633.75,1612.9,4252,2212.36,15544.26
Porte Saint-Martin,,,,,,,,
Gaîté,4004.7,3344.75,3451.55,3474.9,3605.4,3463.8,3286.15,24631.25
Ambigu-Comique,4000.75,3210.75,3503.75,3438,3408.75,3407,3310.75,24279.75
Théâtre Impérial du Cirque,4133.4,3003.9,3727.4,,,,,10864.7
Folies-Dramatiques,1802.45,771.65,614.55,2210.8,1473.5,1481.45,1508.4,9862.8
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,1229,1445,1184,1230.5,1348.5,1205.5,7642.5
Folies Nouvelles,,,,,,,,
Total,39993.45,26585.95,34891.15,26162.1,31988.1,29670.35,34898.26,224189.36
