Théâtres,1862-08-03,1862-08-04,1862-08-05,1862-08-06,1862-08-07,1862-08-08,1862-08-09,3 - 9 août
Opéra,,,,,,,,
Théâtre Français,1201.2,882.1,740.7,1043.8,1334.5,1738,2026.69,8966.99
Opéra-Comique,1271.5,582.5,5086.5,4704.25,1470.5,952.5,1639,15706.75
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,398.5,,1041,892.5,1328.5,1303,1716.5,6680
Théâtre des Variétés,1084.5,991.5,1060.5,1318.5,1485.5,1921.5,,7862
Gymnase,764.75,646,500.5,708.25,1357.75,1320.5,1300.5,6598.25
Palais-Royal,811.85,707.9,921.4,808.35,1510.2,1619.5,,6379.2
Porte Saint-Martin,2562.5,1639.75,1776.5,2160.25,2535,2834.25,3001.25,16509.5
Gaîté,964.3,,,,,,,964.3
Ambigu-Comique,1204.25,782,875.25,1025.75,1068.5,,,4955.75
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,141,186,200,398,340,605,1870
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,10263.35,6372.75,12188.35,12861.65,12488.45,12029.25,10288.94,76492.74
