Théâtres,1862-09-07,1862-09-08,1862-09-09,1862-09-10,1862-09-11,1862-09-12,1862-09-13,7 - 13  sept.
Opéra,,,,,,,,
Théâtre Français,3779.5,2114.5,2291.7,2148.8,2402.4,1493.2,1916,16146.1
Opéra-Comique,4859.5,1932.75,3389.5,2230.5,2820.5,1619,2809.5,19661.25
Théâtre des Italiens,,,,,,,,
Odéon,2200.75,523.75,456.75,574.5,452.5,510.5,426,5144.75
Théâtre-Lyrique,,,,,,,,
Vaudeville,2567,1426.5,1050,1182.5,1163.5,1273,741,
Théâtre des Variétés,3717,2582.5,2324.5,2101.5,2228,2010.5,1756.5,16720.5
Gymnase,2950.25,872.75,1013.5,,1683.25,2301.25,1930.75,10751.75
Palais-Royal,2719.25,1509.25,1110.75,1126.2,1129.25,1214.25,815,9623.95
Porte Saint-Martin,,2626.75,3618.5,4147.75,4432,4449,,19274
Gaîté,5334.75,4029.75,3943.5,3277.75,3335.25,3117.5,2637.75,25676.25
Ambigu-Comique,1504,2414.5,1515,1218.25,1242.75,,1252.25,9146.75
Théâtre Impérial du Cirque,,8087,8226,8016,7813.75,8007.5,6884.75,47035
Folies-Dramatiques,,,,,,,,
Délassement Comiques,506,257,117,270,372,379,228,2129
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,30138,28377,29056.7,26293.75,29075.15,26374.7,21397.5,181309.3
