Théâtres,1862-05-18,1862-05-19,1862-05-20,1862-05-21,1862-05-22,1862-05-23,1862-05-24,18 - 24 mai
Opéra,,,,,,,,
Théâtre Français,2521.6,856.1,2523.4,1944.5,2741.4,1463.6,2269.4,14320
Opéra-Comique,2229,5196.5,5726.75,2894,6149,3037,6324,31556.25
Théâtre des Italiens,,,,,,,,
Odéon,1297.75,478.5,548.25,724.75,489,525.5,491,4554.75
Théâtre-Lyrique,846.25,1498.25,1636.25,624.75,2446.25,199.75,798.5,8050
Vaudeville,575,366.4,439,698,1021.5,965,1110,5174.9
Théâtre des Variétés,1633.5,854,979,1830.5,1363,937.5,693,8290.5
Gymnase,1576,696.25,991,1469.75,1186.25,658.75,789.75,7367.75
Palais-Royal,1310,714.25,607.55,4323.5,1306.25,1058.4,811.6,10131.55
Porte Saint-Martin,2027.5,503.25,1089.25,1595.5,1176.5,1008.5,1125,8525.5
Gaîté,3175.9,1770.4,1301.65,2017.75,1655.9,1505.75,1174.9,12602.25
Ambigu-Comique,2901.25,1808.25,1509.75,2303,2605.5,1806,1919.25,14853
Théâtre Impérial du Cirque,3802.65,3027,3007,4107.75,3465,3646.35,3179.25,24235
Folies-Dramatiques,1121.3,,362.3,470,327,241.85,218.45,2740.9
Délassement Comiques,,,,,,400,1172,1572
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,25017.7,17769.15,20721.15,25003.75,25932.55,17453.95,22076.1,153974.35
