Théâtres,1862-10-12,1862-10-13,1862-10-14,1862-10-15,1862-10-16,1862-10-17,1862-10-18,12 - 18 oct.
Opéra,,,,,,,,
Théâtre Français,4671.5,3399.9,1351.2,5435.5,5408.5,2459.5,1718.5,24444.6
Opéra-Comique,3621.5,5720.25,2421.5,5435.5,3163.5,5558,3737.5,29657.75
Théâtre des Italiens,,,8731.13,,6364.65,,6956.3,22052.08
Odéon,1925.5,866.5,446.50,501.75,661.25,423.5,661.25,5039.75
Théâtre-Lyrique,,,,,,,,
Vaudeville,1734.5,1386,1881,1873,2146,2282,2307,13609.5
Théâtre des Variétés,2631,1592,1541,1260.5,2004.5,1761.5,1584.5,12375
Gymnase,2659,1179,1317.25,1012.75,1289,2159,1019.25,10635.25
Palais-Royal,3503.25,3126.25,3102.75,3005.25,3116.41,3256.75,3301.25,22411.91
Porte Saint-Martin,6006,5271.5,5140,5233,5257.25,5386.5,5183.75,37478
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,1462,1367.5,1184,1238,1387.5,1331.5,1142.5,9113
Luxembourg,5167,3855.25,3441.25,2974.25,3642,3404.25,2404.5,24888.5
Beaumarchais,3300.25,1375,,,1614.25,2112.25,1659.75,10061.5
Bouffes Parisiens,1542,1309.5,901,687,,809.5,2247.5,7496.5
Folies Nouvelles,,,,,,,,
Total,38223.5,30448.65,31012.08,28656.5,36054.81,30944.25,33923.55,229263.34
