Théâtres,1862-07-13,1862-07-14,1862-07-15,1862-07-16,1862-07-17,1862-07-18,1862-07-19,13 - 19  juil.
Opéra,,,,,,,,
Théâtre Français,1319.5,1331.5,1806.9,2334.4,1221.4,1562,1983.1,11558.8
Opéra-Comique,1694.5,852.5,4935.5,1600.5,4838.5,1655.5,4751.5,20328.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,617.5,373.5,369.5,503,362,676,365,3266.5
Théâtre des Variétés,1667.5,1149.5,1652.5,1921,1519,1665.5,1123,10698
Gymnase,1065.25,859.5,931,72.25,617.5,1015.5,608,5169
Palais-Royal,1311,703.5,1017.15,1210,1301.45,805.45,612.8,6961.35
Porte Saint-Martin,2013.75,781.75,913.75,694.5,680.75,,,5084.5
Gaîté,1518.45,982.5,1502.7,1183.75,1140.9,1345.25,832.65,8506.2
Ambigu-Comique,,,,1605,1329.5,1832.25,1207.5,5974.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,898.85,643.85,849.75,,,,,2392.45
Délassement Comiques,168,522,347,566,266,445,103,2417
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,12274.3,8200.1,14325.75,11690.4,13277,11002.45,11586.55,82356.55
