Théâtres,1862-11-02,1862-11-03,1862-11-04,1862-11-05,1862-11-06,1862-11-07,1862-11-08,2 - 8 nov.
Opéra,,,,,,,,
Théâtre Français,4381,1674.5,1646.9,2046.8,2244.9,1820.9,3890.5,17705.5
Opéra-Comique,3720.5,3278.5,1728.75,4754.5,2369.5,4947.5,1838.5,22637.75
Théâtre des Italiens,2223.5,,6756,,6322.7,,5697.2,20999.4
Odéon,2060.5,632.5,709.5,667.75,619,585.5,679.25,5954
Théâtre-Lyrique,5046.5,3183,2972.5,3315,5140,3184,5001.5,27842.5
Vaudeville,2476,731,915,877,1002.5,501,754,7256.5
Théâtre des Variétés,3193.5,1542.5,1551,1580,1334,1702.5,3888.5,14792
Gymnase,2915,2454,3686.25,3528.25,3609.75,3615.25,3739.75,23548.25
Palais-Royal,3410,2114.5,2317.95,2430.45,2121.95,2212.95,2320.7,16928.5
Porte Saint-Martin,5809.75,4009.75,5106,5006.75,4879.5,5045.25,4466,34323
Gaîté,4121.25,2307.5,2560.25,2818,2789.75,2776.75,1788.5,19162
Ambigu-Comique,3234.25,1250.5,,910.25,840.75,,2107.75,8343.5
Théâtre Impérial du Cirque,7220.75,4052.25,4567.25,3761,4007,4206.25,4132.5,31947
Folies-Dramatiques,,,,,,,,0
Délassement Comiques,1226,714.5,849.5,836.5,876,937,1176,6615.5
Luxembourg,,,,,,,,0
Beaumarchais,,,,,,,,0
Bouffes Parisiens,1169.5,2488.5,"2,681,50",2595.5,2558.5,2587.5,2565.5,13965
Folies Nouvelles,,,,,,,,0
Total,52208,30433.5,35366.85,35127.75,40715.8,34122.35,44046.15,272020.4
