Théâtres,1862-06-22,1862-06-23,1862-06-24,1862-06-25,1862-06-26,1862-06-27,1862-06-28,22 - 28 juin
Opéra,,,,,,,,
Théâtre Français,2381.3,1993.9,918.8,1608.5,1215,1610.4,1374.8,11102.7
Opéra-Comique,2631.5,1249.5,6000.5,1061.25,5598,1056.5,5746,23343.25
Théâtre des Italiens,,,,,,,,0
Odéon,,,,,,,,0
Théâtre-Lyrique,,,,,,,,0
Vaudeville,898,759,667.5,320.5,395.5,483,529.5,4053
Théâtre des Variétés,1491.5,1437.5,2212.5,2524.5,2404,2792,2687.5,15549.5
Gymnase,1755,800.75,912.5,641.75,552.5,669.75,827.25,6159.5
Palais-Royal,1019.2,1007.7,812.65,714,438.35,1020.9,1002.7,6015.5
Porte Saint-Martin,979.25,501.5,494,655,427.75,1327,,4384.5
Gaîté,3001.65,1979.35,1545.4,1290.9,1079.4,1118.5,1118.55,11133.75
Ambigu-Comique,2156.5,1202.5,1206.75,1121.25,1002.25,1001,,7690.25
Théâtre Impérial du Cirque,3402,2660.25,2605.25,2455.95,2301.25,2423.25,2631.5,18479.45
Folies-Dramatiques,1544.9,566.6,317,415.55,239.9,351.4,645.75,4081.1
Délassement Comiques,544,466,364,255,325,665,398,3017
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,21804.8,14624.55,18056.85,13064.15,15978.9,14518.7,16961.55,115009.5
