Théâtres,1862-03-16,1862-03-17,1862-03-18,1862-03-19,1862-03-20,1862-03-21,1862-03-22,16 - 22 mar.
Opéra,,,,,,,,
Théâtre Français,3527.2,3232,3057.2,2959.3,1908.1,2459.6,2293,19436.4
Opéra-Comique,4068.5,1383,2425.5,2274,2174,2361.5,,14686.5
Théâtre des Italiens,4671,,7377.25,,,,10886,22934.25
Odéon,1679.5,649.25,465,556,362.5,459.5,539.25,4711
Théâtre-Lyrique,1429.75,244.75,1238.25,412.25,1992,636,3341.25,9294.25
Vaudeville,,1647,1462,1644,1333,1430,1819,9335
Théâtre des Variétés,1254.5,1458.5,2129,2428,2240.5,2290,1552.5,13353
Gymnase,2585.75,1477,1142,2066.5,2264.25,2072,2446.75,14054.25
Palais-Royal,3050.75,2411.25,1907.85,2125.2,2225.7,,2654.45,14375.2
Porte Saint-Martin,,,,,,,,
Gaîté,2750.65,1500.5,1630.5,1132.4,1407.05,1173.25,1201.5,10795.85
Ambigu-Comique,3619.25,2205.25,2312.25,2014.5,1705.5,1612,2021.5,15490.25
Théâtre Impérial du Cirque,6376.55,,6022.25,6158.8,,5722.25,5755.45,30035.3
Folies-Dramatiques,1711.5,718.5,631.5,710.35,560.1,1608.6,1125.6,7066.15
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,606.5,606.5
Folies Nouvelles,,,,,,,,
Total,36724.9,16927,31800.55,24481.3,18172.7,21824.7,36242.75,186173.9
