Théâtres,1862-01-12,1862-01-13,1862-01-14,1862-01-15,1862-01-16,1862-01-17,1862-01-18,12 - 18 jan.
Opéra,,,,,,,,
Théâtre Français,3869.4,2960.6,2168.4,4652.9,2312.8,3104.2,2236.9,21305.2
Opéra-Comique,5191,1410,1846.5,744.5,1706.25,1863.75,2618,15380
Théâtre des Italiens,,,8813.5,,6845.7,,8178.65,23837.85
Odéon,1453,527.5,460.5,868.75,536.5,635.25,369,4850.5
Théâtre-Lyrique,2371,,1272.5,703.25,938,709.75,973,6967.5
Vaudeville,3508,3449.5,3119,3434.5,3348.5,3415,3078,23352.5
Théâtre des Variétés,3904.5,3094.5,2961,2441,2358,2452.5,2401.5,19613
Gymnase,2588,2098,2349.25,2512.25,2124.5,2149.5,2011.75,15833.25
Palais-Royal,2405.25,2006.5,2404.6,2624,1902.5,2115.75,2205.75,15664.35
Porte Saint-Martin,4301.25,3154.5,3117.75,3210.25,3249.5,2757,2217,22007.25
Gaîté,4069.65,3680.05,3505.75,3506.45,3469.75,3364.5,3017.65,24613.8
Ambigu-Comique,2337,,,1818,2656.5,2705,2210,11726.5
Théâtre Impérial du Cirque,5116.45,3805.15,3000.75,3089.75,3257,,2645,20914.1
Folies-Dramatiques,,1693.85,                                                                                                                                                                                                                                                                                                                                          ,,,1008.35,917.55,3619.75
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,41114.5,27880.15,35019.5,29605.6,34705.5,26280.55,35079.75,229685.55
