Théâtres,1862-05-04,1862-05-05,1862-05-06,1862-05-07,1862-05-08,1862-05-09,1862-05-10,4 - 10 mai
Opéra,,,,,,,,
Théâtre Français,,875.6,787.2,2042.2,1252.2,2480.8,2258.9,9696.9
Opéra-Comique,1734.5,829,1331,2345.5,1620,2160,,10020
Théâtre des Italiens,,,,,,,,
Odéon,838,401.75,274,541.5,601.25,777.25,728.25,4162
Théâtre-Lyrique,366.75,1459.5,208.5,2334.75,379,3899.75,2847.5,11495.75
Vaudeville,494,405.5,,1495,901,1100,989,5384.5
Théâtre des Variétés,806.5,570,386,1243,829,1249.5,1273,6357
Gymnase,720.5,991.25,796.25,1199.25,1029,1485.75,1439.5,7661.5
Palais-Royal,905,612.7,507.6,1425.3,733.3,1412.65,1313.4,6909.95
Porte Saint-Martin,2680.75,1565,1158.25,1799.25,1540.75,2108.5,1476.75,12329.25
Gaîté,1348.5,723.5,489.65,690.25,767.25,1088.75,1472,6579.9
Ambigu-Comique,2231,1702.5,1817.5,2618.75,2269,2742.75,2654.5,16036
Théâtre Impérial du Cirque,3446,3254.25,2719.75,3765.5,3684.5,3918,3925.25,24713.25
Folies-Dramatiques,621.65,401.1,212.1,387.75,293.9,603.15,420.65,2940.3
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,16193.15,13791.65,10687.8,21888,15900.15,25026.85,20798.7,124286.3
