Théâtres,1862-07-20,1862-07-21,1862-07-22,1862-07-23,1862-07-24,1862-07-25,1862-07-26,20 - 26 juil.
Opéra,,,,,,,,
Théâtre Français,1144.5,1058.6,1256.2,1501.8,1476.3,926.6,3187,10551
Opéra-Comique,1028,4451.5,1187.5,1069,5202,430,803.3,14171.3
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,636.5,420,464.5,544.5,331.5,274.5,164,2835.5
Théâtre des Variétés,1401.5,1466,1450,1368.5,832,823,495.5,7836.5
Gymnase,871.25,1001.75,656,928.75,568.25,369.25,371.75,4767
Palais-Royal,1009.75,1412,905.2,1041.5,505.25,510.6,426.6,5810.9
Porte Saint-Martin,,,,,,2092,1359.5,3451.5
Gaîté,1645.9,1358.4,1237,1171,918.65,,223.9,6554.85
Ambigu-Comique,2151.5,1646,1433.5,1300.25,1171.25,748,403.75,8854.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,231,294,245,328,189,118,123,1528
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,10119.9,13108.25,8834.9,9253.3,11194.2,6291.95,7558.3,66360.8
