Théâtres,1862-11-09,1862-11-10,1862-11-11,1862-11-12,1862-11-13,1862-11-14,1862-11-15,9 - 15 nov.
Opéra,,,,,,,,
Théâtre Français,2564,1675.8,1758.3,2313,2122,1890.9,2739.6,15063.6
Opéra-Comique,3315,1243.5,4420.5,4582,4052,5059,2476.5,25148.5
Théâtre des Italiens,2718,,6874.8,,8635.2,,7422.5,25650.5
Odéon,1902.5,613,733.5,760.25,711.5,667.75,903.75,6292.25
Théâtre-Lyrique,5008,3578.5,4381.5,2734,4994.5,2420,4390.5,27507
Vaudeville,1764,885,1520.5,769.5,715.5,916.5,1004.5,7575.5
Théâtre des Variétés,2472.5,1471.5,1353.5,1286,1373.5,1369,1511,10837
Gymnase,2739.75,3.900.50,3757,3721.75,,3740,3802.25,17760.75
Palais-Royal,3220.25,2062.45,1915.5,2205.95,2214.15,2222.9,2225.15,16066.35
Porte Saint-Martin,5774,4650.5,4909,4847.5,4927.5,4586.5,4886.5,34581.5
Gaîté,3472.5,2200.75,,3545.75,4320,4946.5,5187,23672.5
Ambigu-Comique,4108,2721.25,2837,2903.5,2707,2074.5,2254.5,19605.75
Théâtre Impérial du Cirque,6362.25,3602.75,3059,3702,4154,3775.5,5007.75,29663.25
Folies-Dramatiques,,,,,,,,
Délassement Comiques,837,700.5,775.5,838,825,668,682,5326
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1354.5,2550.5,2310,2403.5,2422.5,2544,2451,16036
Folies Nouvelles,,,,,,,,
Total,47612.25,27956,40605.6,36612.7,44174.35,36881.05,46944.5,280786.45
