Théâtres,1862-12-07,1862-12-08,1862-12-09,1862-12-10,1862-12-11,1862-12-12,1862-12-13,7 - 13 déc.
Opéra,,,,,,,,
Théâtre Français,2982.8,5379,1587.1,5510.5,5559.8,2040.3,5599.6,28659.1
Opéra-Comique,4916.5,2473,4176.5,3107.5,4002.75,2558.5,4377.5,25612.25
Théâtre des Italiens,9244.5,,8154.7,,10190.75,,7374.2,34964.15
Odéon,1750.75,607,410,523.75,255.25,716.75,393.75,4657.25
Théâtre-Lyrique,4817,3129,3123,2115.5,2828.5,2462.5,2796,21271.5
Vaudeville,1978,1115,1345,1082,1181,986.5,1526.5,9214
Théâtre des Variétés,2628.5,1331,1088,1167.5,1189.5,1215,4142.5,12762
Gymnase,1653.75,3720.5,3443.75,3277.5,3308.5,3587,3443,22434
Palais-Royal,2853.95,1750.75,1751,1624,1611.75,1309.95,,10901.4
Porte Saint-Martin,5381.75,4935.75,4970.5,4618.25,4941.75,4755,4381,33984
Gaîté,4582.5,2756.25,2519.5,1889.75,2083,2188.5,1661.75,17681.25
Ambigu-Comique,3503.25,2745.75,1759.25,1275,1338,1473.25,1003.75,13098.25
Théâtre Impérial du Cirque,5007,3962.75,3325.5,2423.75,2250.5,2582.75,,19552.25
Folies-Dramatiques,,,,,,,,0
Délassement Comiques,520,,,556,488,616,429,2609
Luxembourg,,,,,,,,0
Beaumarchais,,,,,,,,0
Bouffes Parisiens,1607.5,445,408,,,,,2460.5
Folies Nouvelles,,,,,,,,0
Total,53427.75,34350.75,38061.8,29171,41229.05,26492,37128.55,259860.9
