Théâtres,1862-01-19,1862-01-20,1862-01-21,1862-01-22,1862-01-23,1862-01-24,1862-01-25,19 - 25 jan.
Opéra,,,,,,,,
Théâtre Français,3121.5,2003.6,2608,1957.3,3221.8,2700.6,3915.3,19528.1
Opéra-Comique,2778.5,1904.5,2022,2294.5,2148,1311.5,1883.5,14342.5
Théâtre des Italiens,2331.5,,6264,,6095.9,,7505.9,22197.3
Odéon,826.25,332.5,449.25,277.25,1468.75,572,550.5,4476.5
Théâtre-Lyrique,1434,963,1113.75,787.75,1359,1234,1891.25,8782.75
Vaudeville,3143.1,2619.5,2851.5,3184.5,2951,2921,2779.5,20450.1
Théâtre des Variétés,3319.5,2303.5,2003,2002.5,1858.5,2003,2176,15666
Gymnase,,1671.5,2247.75,2478.75,2496,2870.5,3022.75,14787.25
Palais-Royal,3215.25,2007.25,2119,1805.5,1912.75,1913.5,2261.25,15234.5
Porte Saint-Martin,3373.75,2223,2344.25,2380,2912,2610,,15843
Gaîté,4019.8,3537.15,3531,3549.45,3677.55,3602.15,3518.75,25435.85
Ambigu-Comique,4116.5,3205.25,2908.5,3105.25,3204.25,3105.75,3018.5,22664
Théâtre Impérial du Cirque,4187.85,2501,2179,2537.75,4041.05,3059.85,3210.5,21717
Folies-Dramatiques,,,976.4,984.85,,861.25,,2822.5
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,35867.5,25271.75,33617.4,27345.35,37346.55,28765.1,35733.7,223947.35
