Théâtres,1862-08-10,1862-08-11,1862-08-12,1862-08-13,1862-08-14,1862-08-15,1862-08-16,10 - 16 août
Opéra,,,,,,,,
Théâtre Français,2256.8,1520.1,2286.2,1254.2,1864.6,,,9181.9
Opéra-Comique,2899,,3025.5,1781,2979.5,,4457.5,15142.5
Théâtre des Italiens,,,,,,,,0
Odéon,,,,,,,,0
Théâtre-Lyrique,,,,,,,,0
Vaudeville,1900,1876.5,1507.5,629,1121.5,,2994.5,10029
Théâtre des Variétés,,2064.5,1621,1216,1487,,2694.5,9083
Gymnase,,1318.5,1291.25,690.25,604,,1802.75,5706.75
Palais-Royal,1910.25,1913.25,1130.4,1033.15,1201,,2765,9953.05
Porte Saint-Martin,4003.5,3337.5,2426.25,,1671.5,,4106.25,15545
Gaîté,,,,,,,,0
Ambigu-Comique,2876.75,,2010.75,1773,1843.5,,3263.5,11767.5
Théâtre Impérial du Cirque,,,,,,,,0
Folies-Dramatiques,,,,,,,,0
Délassement Comiques,469,502,336,,,,434,1741
Luxembourg,,,,,,,,0
Beaumarchais,,,,,,,,0
Bouffes Parisiens,,,,,,,,0
Folies Nouvelles,,,,,,,,0
Total,16315.3,12532.35,15634.85,8376.6,12772.6,0,22518,88149.7
