Théâtres,1862-11-23,1862-11-24,1862-11-25,1862-11-26,1862-11-27,1862-11-28,1862-11-29,23 - 29 nov.
Opéra,,,,,,,,
Théâtre Français,3955.1,2727.7,1610.5,1759.3,1926.7,2462.8,2069.5,16511.6
Opéra-Comique,5860.25,2580.5,,2930.5,3797.75,3077.5,4555.25,22801.75
Théâtre des Italiens,4507.75,,11316.7,,8304.7,,12171.1,36300.25
Odéon,1333.5,547.25,398,417.5,456,591.5,375,4118.75
Théâtre-Lyrique,5887.5,2775,2918,3323.5,2435,4518.5,4074,25931.5
Vaudeville,1023,1095,879.5,654.5,931.5,1020.5,678.5,6282.5
Théâtre des Variétés,2743.5,1242,1071.5,1144.5,1386,1341,1584,10512.5
Gymnase,2214.75,3806.75,3565.25,3452,3367.5,3328.5,3666.75,23401.5
Palais-Royal,3210.75,1510.25,1860.2,1408.15,1517.25,1308.25,1618.75,12433.6
Porte Saint-Martin,5352,3820,4235.75,3747.5,3775,3615.75,4119,28665
Gaîté,5722,3473.5,3225.75,2626,2891,2600,2826.75,23365
Ambigu-Comique,3733.25,2229.75,1605,1501.5,1407,1643.5,1457,13577
Théâtre Impérial du Cirque,5105.25,3009,3303.25,2769.5,2781.7,2389.5,3394.5,22752.7
Folies-Dramatiques,,,,,,,,
Délassement Comiques,701,547,488,493.5,605,560,545,3939.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1827.5,2056,1864.5,1644.5,1834.5,1762,2121.5,13110.5
Folies Nouvelles,,,,,,,,
Total,53177.1,31419.7,38341.9,27872.45,37416.6,30219.3,45256.6,263703.65
