Théâtres,1862-06-15,1862-06-16,1862-06-17,1862-06-18,1862-06-19,1862-06-20,1862-06-21,15 - 21 juin
Opéra,,,,,,,,
Théâtre Français,2476.3,1565.9,1742.1,2029.5,2035.4,2296.4,2507.9,14653.5
Opéra-Comique,1529,929.5,5938.5,1651.5,6061,1884,5902.5,23896
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,1701,1117,148.5,1466,1001.5,1274.5,904,7612.5
Théâtre des Variétés,792,896,831,1703.5,956,846.5,1033,7058
Gymnase,1405.5,1204.5,820.25,1547,1162.25,1544.25,1101,8784.75
Palais-Royal,1210.5,1307.95,1017.9,,1212.5,1217.5,1219.9,7186.25
Porte Saint-Martin,,,,678.5,698.5,563,592,2532
Gaîté,2655.2,2436.4,2168.05,2268,1929.9,2104.65,1471.45,15033.65
Ambigu-Comique,1827.5,1604.5,1704,2129.5,1602,1828.5,1525.5,12221.5
Théâtre Impérial du Cirque,2648.6,2262.75,2512.5,3066,2508,3023.25,2427.75,18448.85
Folies-Dramatiques,1162,876.25,565.2,821.75,673.15,768.1,613.7,5480.15
Délassement Comiques,402,723,597,1198,566,549,663,4698
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,17809.6,14923.75,18045,18559.25,20406.2,17899.65,19961.7,127605.15
