Théâtres,1862-03-02,1862-03-03,1862-03-04,1862-03-05,1862-03-06,1862-03-07,1862-03-08,2 - 8 mar.
Opéra,,,,,,,,
Théâtre Français,4886.7,5543.5,6017.2,1856.4,2434.3,2398.4,3444.8,26581.3
Opéra-Comique,3748,6172.5,6922.504,3368.5,3192.25,2288,3326.25,29018.004
Théâtre des Italiens,4823,,8870.25,,5925.4,,7651,27269.65
Odéon,995.75,1138.25,2098.5,536.5,536,419.5,1421.5,7146
Théâtre-Lyrique,2588.5,2355.25,4488,542.5,344,641.5,427,11386.75
Vaudeville,2564,2759,3402.5,1606.5,1776.5,1801.5,1639.5,15549.5
Théâtre des Variétés,2761.5,2590.5,3514.5,1151.5,1422.5,1579.5,1439.5,14459.5
Gymnase,2580.5,2807.25,3944.5,1511.5,1478.75,1828,1660,15810.5
Palais-Royal,3002.75,3011.25,3604.25,1311.25,1209.4,1656.5,1802.6,15598
Porte Saint-Martin,,,,1770.5,1791.25,1611,1280,6452.75
Gaîté,3427.05,3031.15,3509,2236.2,2175.4,2313.25,1547.75,18239.8
Ambigu-Comique,3712.25,3402.25,3912,2300.75,2306.5,2402.75,2002,20038.5
Théâtre Impérial du Cirque,6468.1,6302.8,6645.9,6302.1,6133.5,6266.5,6004.25,44123.15
Folies-Dramatiques,2003.9,1409.6,2075.75,1181.55,1037.4,1150.4,787,9645.6
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1711,1994.5,2208,751,918.5,,,7583
Folies Nouvelles,,,,,,,,
Total,45273,42517.8,61212.854,26426.75,32681.65,26356.8,34433.15,268902.004
