Théâtres,1862-03-23,1862-03-24,1862-03-25,1862-03-26,1862-03-27,1862-03-28,1862-03-29,23 - 29 mar.
Opéra,,,,,,,,
Théâtre Français,4247.1,2542.4,2539.1,1905.3,2593.1,1792,2353.3,17972.3
Opéra-Comique,5161,,2394.5,3366.25,3652,1996,2125.25,18695
Théâtre des Italiens,7327.5,11470.5,8828.2,,10752.15,7419.5,7596.8,53394.65
Odéon,1745.5,367.5,345.75,384.25,738,548.5,234.5,4364
Théâtre-Lyrique,1740,,3744.25,464.25,,471,4371.25,10790.75
Vaudeville,1001,1593.5,1726,1818.5,1198,952,1272,9561
Théâtre des Variétés,3303.5,2478.59,2102.5,1121.5,2718.5,1911.5,2131,15767.09
Gymnase,3239,1582,1169.75,908.75,1720.25,1615.25,1503,11738
Palais-Royal,2703.75,2011.75,1705.4,1927.15,2168.75,1779.15,1926.6,14222.55
Porte Saint-Martin,,,,,,,,
Gaîté,2806.25,1027.3,1230.4,1002.4,2105.2,1116.5,1174.15,10462.2
Ambigu-Comique,3706.5,2106.5,1710.5,1704.5,2829.25,1506,1507.25,15070.5
Théâtre Impérial du Cirque,6405.75,5814.15,5747,5609,6800.25,5765,5713.5,41854.65
Folies-Dramatiques,2066.95,,833.15,727.7,1414.65,784.85,586.4,6413.7
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,2051.5,1462,1573.5,1317.5,1860,1403,1503,11170.5
Folies Nouvelles,,,,,,,,
Total,47505.3,32456.19,35650,22257.05,40550.1,29060.25,33998,241476.89
