Théâtres,1862-08-17,1862-08-18,1862-08-19,1862-08-20,1862-08-21,1862-08-22,1862-08-23,17 - 23 août
Opéra,,,,,,,,
Théâtre Français,3930.7,2471.1,2390.8,1976.7,1779.4,1599.1,1492.3,15640.1
Opéra-Comique,4506,3616,3946.5,2676,2647,1944,2594.5,21930
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,2748,1451.5,1340.5,751.5,630.5,985.5,780,8687.5
Théâtre des Variétés,3003,2014.5,1870.5,1078.5,1078.5,1276.5,913,11234.5
Gymnase,2865.25,1227,1431.25,815.5,714.75,906.5,585,8545.25
Palais-Royal,3753.25,3030,3029.5,2411,1828,2006,1517.7,17575.45
Porte Saint-Martin,4585.75,3177.25,2768.25,1800.5,1560.25,1572.5,1355,16819.5
Gaîté,,,,,,,,
Ambigu-Comique,3867.5,3201,3004.75,2304.5,1700,1801,1605.75,17484.5
Théâtre Impérial du Cirque,,,4732,7602,7279,7847.25,,27460.25
Folies-Dramatiques,,,,,,,,
Délassement Comiques,632,378,334,185,370,233,282,2414
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,29891.45,20566.35,24848.05,21601.2,19587.4,20171.35,11125.25,147791.05
