Théâtres,1862-01-05,1862-01-06,1862-01-07,1862-01-08,1862-01-09,1862-01-10,1862-01-11,5 - 11 jan.
Opéra,,,,,,,,
Théâtre Français,3613.2,1778.7,2633,1713.1,1858,2640,3155.5,17391.5
Opéra-Comique,4716.5,1447,2246,1137.25,1726.75,1200,2336.5,14810
Théâtre des Italiens,2473,,6391.5,,6167.2,,7409.15,22440.85
Odéon,2989.5,3110.75,381,416.5,405.75,1190.5,402,8896
Théâtre-Lyrique,1781.25,978,1429.75,363.25,978.5,800.05,1279,7609.8
Vaudeville,3568.5,3018.5,3505.5,3358,3164.5,3544,3542.5,23701.5
Théâtre des Variétés,3904.5,3403.5,3412,3447,3137,3206,3337.5,23847.5
Gymnase,2284,1744,1338.5,1510.75,1065.75,1573.25,1682,11198.25
Palais-Royal,1711.2,1306.65,1326.45,1105.65,1114,1110.95,1725.65,9400.55
Porte Saint-Martin,4174,3407,3649.5,,2858.25,3426.5,3297.5,20812.75
Gaîté,2833.45,1879.4,,1946.5,2141,2965.55,3144.45,14910.35
Ambigu-Comique,2173.25,1346.75,1728.5,1219,1855.5,,,8323
Théâtre Impérial du Cirque,4558.7,3344.5,4844.5,2851.25,2888,2616.25,2905.75,24008.95
Folies-Dramatiques,,,1621.25,,,,,1621.25
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,40781.05,26764.75,34507.45,19068.25,29360.2,24273.05,34217.5,208972.25
