Théâtres,1862-06-08,1862-06-09,1862-06-10,1862-06-11,1862-06-12,1862-06-13,1862-06-14,8 - 14 juin
Opéra,,,,,,,,
Théâtre Français,1043.9,1638.3,2290.9,1903.5,2780.4,1444.3,2374.5,13475.8
Opéra-Comique,1629.5,3650.5,6412,1996,6002,1201,6240,27131
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,869.5,573,485,449,458,,2834.5
Théâtre des Variétés,675.5,2467,928,1625.5,1067,1033.5,1360.5,9157
Gymnase,1015.5,2583.75,1499.5,1682,1155.5,1256.5,1618.5,10811.25
Palais-Royal,1009.5,2416.25,1248,1718,917.2,943.7,1336.5,9589.15
Porte Saint-Martin,1138.6,,,,,,,1138.6
Gaîté,1342.7,2733.2,1415.7,,1846.5,1904.9,1813.15,11056.15
Ambigu-Comique,1511,3207,1814.5,1806,1817.5,1763,1779,13698
Théâtre Impérial du Cirque,2606.2,5718.35,4106.5,3202.75,2522,2709,2726,23590.8
Folies-Dramatiques,481.55,1355.3,343.35,1632.25,,863.45,879.2,5555.1
Délassement Comiques,304,1487,794,1161,782,628,1001,6157
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,12757.95,28126.15,21425.45,17212,19339.1,14205.35,21128.35,134194.35
