Théâtres,1862-09-14,1862-09-15,1862-09-16,1862-09-17,1862-09-18,1862-09-10,1862-09-20,14 - 20  sept.
Opéra,,,,,,,,
Théâtre Français,1861,873.3,1759,1778.4,1858.2,2732.1,1545.5,12407.5
Opéra-Comique,2302.25,2264.5,1294.5,2516.75,1487.5,2649.5,2271.5,14786.5
Théâtre des Italiens,,,,,,,,
Odéon,1157.5,443.5,449.25,349.75,428,606,429,3863
Théâtre-Lyrique,,,,,,,,
Vaudeville,854.5,1250.5,935.5,843.5,883,902.5,773.5,6443
Théâtre des Variétés,2088.5,1772,1974,1741,1826,1827.5,1801,13030
Gymnase,2103.25,1683,1641.5,1627,1469.75,1582,1352.75,11459.25
Palais-Royal,940,806.7,1010.7,1254.8,1265.45,1478.4,1312.95,8069
Porte Saint-Martin,5543.5,4741.75,5001.25,5162,5290.75,5284.25,5135.25,36158.75
Gaîté,3023.25,2170,2200.75,2410.9,2036.75,2376.5,1568.15,15786.3
Ambigu-Comique,2501.75,1407.75,932.25,1355.25,1129.75,1523.5,808,9658.25
Théâtre Impérial du Cirque,6578.5,6340,7018.5,6703.5,7432,,6600,40672.5
Folies-Dramatiques,,,,,,,,
Délassement Comiques,289,254,216,219,164,194,,1336
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,29243,24007,24433.2,25961.85,25271.15,21156.25,23597.6,173670.05
