Théâtres,1862-04-13,1862-04-14,1862-04-15,1862-04-16,1862-04-17,1862-04-18,1862-04-19,13 - 19 avr.
Opéra,,,,,,,,
Théâtre Français,2878.2,2296.6,1586.7,1558.2,,,,8319.7
Opéra-Comique,4429,1935.5,1728.5,1771.5,6445.75,,7723.6,24033.85
Théâtre des Italiens,2630,,5872.5,,,,,8502.5
Odéon,930.35,361.5,1812,209.25,,,,3313.1
Théâtre-Lyrique,1092.5,405,2703.5,,2596,,2369.5,9166.5
Vaudeville,"1,688,50",639.59,1227,853,1474.5,,825.5,5019.59
Théâtre des Variétés,2861.5,1739.5,1453,1350.5,1456,,1170,10030.5
Gymnase,2964.5,2136.75,2165.25,2347.5,1781.25,,1708.75,13104
Palais-Royal,2210.25,1307,1229.55,1008.9,,,2015,7770.7
Porte Saint-Martin,,,,,,,,0
Gaîté,4026.4,1902.5,1706.25,1916.25,1460.75,,1182.15,12194.3
Ambigu-Comique,3007,1326.5,1305.75,1407.5,1232.25,,1742,10021
Théâtre Impérial du Cirque,6004.45,4360.75,5723.75,4919.75,,,,21008.7
Folies-Dramatiques,1462.95,2138.45,993.75,1020.75,875.15,,755.6,7246.65
Délassement Comiques,,,,,,,,0
Luxembourg,,,,,,,,0
Beaumarchais,,,,,,,,0
Bouffes Parisiens,,,,782.5,631.5,,695.5,2109.5
Folies Nouvelles,,,,,,,,0
Total,34497.1,20549.64,29507.5,19145.6,17953.15,0,20187.6,141840.59
