Théâtres,1862-12-21,1862-12-22,1862-12-23,1862-12-24,1862-12-25,1862-12-26,1862-12-27,21 - 27 déc.
Opéra,,,,,,,,
Théâtre Français,2705.6,1353.5,5407,5412.8,4263.4,5330.7,5317.7,29790.7
Opéra-Comique,5687,2799.75,1788.5,1137.5,2479,2919,3102,19912.75
Théâtre des Italiens,9733.5,,6583.2,,8359.25,,8689.15,33365.1
Odéon,788.5,256.85,3081.75,417.25,903,368.25,293.5,6109.1
Théâtre-Lyrique,3488,2339,6745.5,1682.5,6802,1742,6941,29740
Vaudeville,1588.5,735,1149,953,,1051.5,1149.5,6626.5
Théâtre des Variétés,2028.5,1801,2701,3285.5,3853.5,3317.5,3256.5,20243.5
Gymnase,2986,2739.25,2651.25,2627,2613.75,2716.25,2651.5,18985
Palais-Royal,3003.75,2001.2,1614.7,1506.25,1710.25,1003.75,1252.5,12092.4
Porte Saint-Martin,5163.25,3462,3715.75,2848.25,4165.75,3757.75,3454.75,26567.5
Gaîté,3200.25,1407.25,1124.25,972.25,2330.75,1295,,10329.75
Ambigu-Comique,2492.75,1002.75,888.5,773.75,1890.4,,1503,8551.15
Théâtre Impérial du Cirque,6318.75,3739.75,3413.5,3006.25,6702.5,4048.75,3864.75,31094.25
Folies-Dramatiques,,,,,,,,
Délassement Comiques,401,,,386.5,1535.5,1300.5,1389,5012.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1094,1796.5,1120,1553.5,2070,1540.51,1492,10666.51
Folies Nouvelles,,,,,,,,
Total,50679.35,25433.8,41983.9,26562.3,49679.05,30391.46,44356.85,269086.71
