Théâtres,1862-02-02,1862-02-03,1862-02-04,1862-02-05,1862-02-06,1862-02-07,1862-02-08,2 - 8 fév.
Opéra,,,,,,,,
Théâtre Français,4389.8,3921.3,2444.7,4023.7,3096.7,3621.4,2533.4,24031
Opéra-Comique,5183.5,1555.75,2337.5,2143.5,3415.9,1431.5,3301.5,19369.15
Théâtre des Italiens,1331.5,,5676.8,,6427.7,,6470.5,19906.5
Odéon,2054,707.5,923.25,1046.25,820.5,814.75,1008,7374.25
Théâtre-Lyrique,3728.5,1356.75,1325,1917.25,1488.5,869.25,1086,11771.25
Vaudeville,3266.5,2771,,3069,2640.5,2412,2555.5,16714.5
Théâtre des Variétés,3202.5,1537.5,1625.5,1935,1558.5,1900.5,1646,13405.5
Gymnase,3005.75,1957,2600.25,2518,2093.75,,2358.5,14533.25
Palais-Royal,2713.5,1715.5,1707.25,1710.75,1607.2,,1413.2,10867.4
Porte Saint-Martin,,,,,,,,
Gaîté,4156.9,3603.9,3583.55,3516.55,3570.05,3317.9,3205.9,24954.75
Ambigu-Comique,4133,3615.25,3505,3402.5,3303.5,3002.25,3006.75,23968.25
Théâtre Impérial du Cirque,5317.4,3146.75,3213.25,3301.5,3044.75,1839.25,1903,21765.9
Folies-Dramatiques,2142.8,947.8,897.35,1997.45,,647.6,517.4,7150.4
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1522.5,899.5,1634,998,1276.5,,,6330.5
Folies Nouvelles,,,,,,,,
Total,46148.15,27735.5,31473.4,31579.45,34344.05,19856.4,31005.65,222142.6
