Théâtres,1862-10-05,1862-10-06,1862-10-07,1862-10-08,1862-10-09,1862-10-10,1862-10-11,5 - 11 oct.
Opéra,,,,,,,,
Théâtre Français,3603.2,1896.6,3191.2,2071.5,1763,3021.3,1767.6,17314.4
Opéra-Comique,4168,5150.5,3822,5681.5,2053.5,5772.5,3692,30340
Théâtre des Italiens,,,6705,,7670.35,,6270.2,20645.55
Odéon,1707.5,581.75,373,793.75,410.75,349.5,319.5,4535.75
Théâtre-Lyrique,,,,,,,,
Vaudeville,1345,591.5,847,1068.5,833.5,827,,5512.5
Théâtre des Variétés,3002,1812,2046,2062,1746.5,1596.5,1769.5,14034.5
Gymnase,3178.25,1655.5,1992,1750.75,1638.25,1422.25,1550.25,13187.25
Palais-Royal,2827,1655.45,2138.65,1815,2430.9,2602.9,2318.45,15788.35
Porte Saint-Martin,6003,5370.25,5521.75,5507.75,5449,5475.75,5002,38329.5
Gaîté,5391.25,4296,4453.25,3706,3721.75,3828.25,3396.25,28792.75
Ambigu-Comique,3512.25,2130.75,1760,1409.5,1208.25,1104.25,307.75,11432.75
Théâtre Impérial du Cirque,8303,7658.75,6329.75,5668.5,6323.75,5102.75,5468,44854.5
Folies-Dramatiques,,,,,,,,
Délassement Comiques,266,362,465,,,,472,1565
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1774,1344.5,1567,1412,1293,1402,1300,10092.5
Folies Nouvelles,,,,,,,,
Total,45080.45,34505.55,41211.6,32946.75,36542.5,32504.95,33633.5,256425.3
