Théâtres,1862-11-16,1862-11-17,1862-11-18,1862-11-19,1862-11-20,1862-11-21,1862-11-22,16 - 22 nov.
Opéra,,,,,,,,
Théâtre Français,4276.7,2367.4,2239.8,1659.5,1723.3,2880.6,1772.4,16919.7
Opéra-Comique,3480.25,4313.75,3657.75,4839.5,3468.5,4812,3981,28552.75
Théâtre des Italiens,7630.75,,8443.7,,11274.2,,10224.8,37573.45
Odéon,1986,643.5,620.5,819.25,1190.5,539,587.25,6386
Théâtre-Lyrique,5487.5,3862,3550,3405.5,3517,3936.5,3403,27161.5
Vaudeville,1865.5,773.5,677.5,1034.5,880.5,583.5,714,6529
Théâtre des Variétés,3060,1302.5,1308.5,1706.5,1286,1309,1814,11786.5
Gymnase,2519.75,3912,3866.75,3838.75,3669.75,3770,3879,25456
Palais-Royal,3108.72,2020.5,1511.7,1815.45,1709.45,1315.4,1732.2,13213.42
Porte Saint-Martin,5750.5,4404.5,4571.25,4896.75,4264,4080.75,3864.75,31832.5
Gaîté,5741,5370,4908.25,4640,4155,3764.75,3539,32118
Ambigu-Comique,4008.25,3236.5,2102,2006,2013.5,1608,1777,16751.25
Théâtre Impérial du Cirque,6726,4161,3450,3169.75,3731.75,2758.25,3303.5,27300.25
Folies-Dramatiques,,,,,,,,
Délassement Comiques,973.5,,791,703,736.5,419,638,4261
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1759.5,2429,2357,2375,2220.5,2115,2223.5,15479.5
Folies Nouvelles,,,,,,,,
Total,58373.92,38796.15,44055.7,36909.45,45840.45,33891.75,43453.4,301320.82
