Théâtres,1862-04-20,1862-04-21,1862-04-22,1862-04-23,1862-04-24,1862-04-25,1862-04-26,20 - 26 avr.
Opéra,,,,,,,,
Théâtre Français,,2526,2447.8,2578.3,3374.7,,2977.5,13904.3
Opéra-Comique,4361.5,2861,3860.5,2876.5,,2675.5,2050.5,18685.5
Théâtre des Italiens,1985,,8572.5,,6805.25,,8592.1,25954.85
Odéon,948.75,617.5,329.5,369.25,326,618.75,1254.75,4464.5
Théâtre-Lyrique,631.75,4368.25,4144.25,634,3912.25,940.5,3519.5,18150.5
Vaudeville,623.5,1009,917,1010,925.5,654,749.5,5888.5
Théâtre des Variétés,1337,1612,1691,1955.5,1565,1377,1635,11172.5
Gymnase,1731.75,2747.25,2705.75,2605.5,2701.5,2877.25,2866,18235
Palais-Royal,1622.55,1850,1718.5,1911.75,1424.2,1255.75,1122.25,10905
Porte Saint-Martin,,,,,,,,
Gaîté,2406.75,2402.4,2126.8,1139.65,1702.15,1091,833.9,11702.65
Ambigu-Comique,1809.75,2604.75,2016.25,1671.25,1539.5,,1643.5,11285
Théâtre Impérial du Cirque,,7269.7,6306,6011.5,5659.5,5649,5533.75,36429.45
Folies-Dramatiques,1142.6,1402.25,1169.1,873.25,617.65,553.25,474.55,6232.65
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,785,1112.5,1055.5,1222,990,926,732.5,6823.5
Folies Nouvelles,,,,,,,,
Total,19385.9,32382.6,39060.45,24858.45,31543.2,18618,33985.3,199833.9
