Théâtres,1862-12-14,1862-12-15,1862-12-16,1862-12-17,1862-12-18,1862-12-19,1862-12-20,14 - 20 déc.
Opéra,,,,,,,,
Théâtre Français,2744.2,5689.9,1652.2,5727,5717.4,1408,5858.3,28797
Opéra-Comique,5626,3067.5,6552.5,3829,3569.5,3500.75,3749,29894.25
Théâtre des Italiens,9649,,11930.3,,6420.25,,11766.2,39765.75
Odéon,1843.75,494.75,393.5,437.75,597.75,344.5,276.25,4388.25
Théâtre-Lyrique,4369,2562.5,2525.5,2153,1199,2765.5,6557.5,22132
Vaudeville,1619.5,888.5,944,1603.5,910.5,1004.5,1040.5,8011
Théâtre des Variétés,3003,1128.5,1589,1489.5,1695.5,,,8905.5
Gymnase,2508.5,3026.5,3186.5,3065.5,,3131.25,2754.25,17672.5
Palais-Royal,2410,1714.75,1305,2011.7,2806.75,2712.75,2606.75,15567.7
Porte Saint-Martin,5508.25,4647.5,4843.5,4552.75,4772,4178.5,3479.5,31982
Gaîté,3948.5,2088.25,1795.75,,,,1320.25,9152.75
Ambigu-Comique,3005.5,1478.25,1326.5,831.5,1000.25,1148,932.75,9722.75
Théâtre Impérial du Cirque,,,,,,,3758.75,3758.75
Folies-Dramatiques,,,,,,,,
Délassement Comiques,654.5,306.5,465.5,523,361.5,415,536,3262
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,1529,1632,1800,1972,1570,1972,10475
Folies Nouvelles,,,,,,,,
Total,46889.7,28622.4,40141.75,28024.2,31022.4,22178.75,46608,243487.2
