Théâtres,1862-04-06,1862-04-07,1862-04-08,1862-04-09,1862-04-10,1862-04-11,1862-04-12,6 - 12 avr.
Opéra,,,,,,,,
Théâtre Français,2735,1796.9,2211.6,2314.3,1644.1,2080.1,2414,15196
Opéra-Comique,2029.5,2074,2362.25,2374,2662.75,2080.5,2129,15712
Théâtre des Italiens,1034,,7329,,5436.25,3875,6980.1,24654.35
Odéon,858.25,297.75,246.25,364.5,268.25,374,311.25,2720.25
Théâtre-Lyrique,803.75,3567.75,3881.25,368,4236.25,421.75,4422.75,17701.5
Vaudeville,1388.5,855,1022.5,818,755.5,1047,993,6879.5
Théâtre des Variétés,2921.5,1979,1814.5,1852.5,1585,1881.5,1887,13921
Gymnase,1031.75,1402.25,1000.5,1289.5,1120,1181.5,1546.5,8572
Palais-Royal,1311.45,1442.6,1512.15,1515.75,1320.25,1916.45,1507.6,10526.25
Porte Saint-Martin,,,,,,,,
Gaîté,1651.9,2300.75,2471.65,2568.75,2274.05,2469.15,2121.75,15858
Ambigu-Comique,2508,1805.5,1629.75,1705.5,1400.5,1406,1217.25,11672.5
Théâtre Impérial du Cirque,6029.55,5217.75,5313.65,5533.75,5347.4,5237,5148.5,37827.6
Folies-Dramatiques,1474.8,775.05,582.3,459.85,523.7,517.4,454.4,4787.5
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,25777.95,23514.3,31377.35,21164.4,28574,24487.35,31133.1,186028.45
