Théâtres,1862-03-09,1862-03-10,1862-03-11,1862-03-12,1862-03-13,1862-03-14,1862-03-15,9 - 15 mar.
Opéra,,,,,,,,
Théâtre Français,3319.3,3150.2,2418.6,3640.6,1637,3635.1,2858.2,20659
Opéra-Comique,5627,1692.5,3285.5,2801,2592.5,2189.5,3324,21512
Théâtre des Italiens,8273,,8926.75,,7527.4,8712,9661,43100.15
Odéon,955.75,434.25,487.75,370.25,583,558.5,664.5,4054
Théâtre-Lyrique,2308,,786,,,762,,3856
Vaudeville,2223.5,1609.5,1813.5,1340.5,1019.5,1659.5,1693,11359
Théâtre des Variétés,1852.5,1245,1152,1015,1023,904.5,954,8146
Gymnase,2439.5,1132.25,1386.25,1407,1261.75,1419.25,2440.5,11486.5
Palais-Royal,2613.85,2205,2425.35,2407.2,2210.95,2305.75,2416.5,16584.6
Porte Saint-Martin,2975.25,,,,,,,2975.25
Gaîté,3113,2030.2,2066.3,1823.25,1203.5,2021.8,1602.55,13860.6
Ambigu-Comique,3610,2209.25,2014.75,1879.75,1608.75,2302.25,2200.75,15825.5
Théâtre Impérial du Cirque,6547.05,6121.15,6129.05,6044,5660.5,5504.4,6012.25,42018.4
Folies-Dramatiques,2003.7,1000.9,815.4,796.9,449.1,791.95,878.15,6736.1
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,47861.4,22830.2,33707.2,23525.45,26776.95,32766.5,34705.4,222173.1
