An 1862 - Juillet,,,,,,,
Théâtre,Semaines,,,,,,Total mois
Opéra,,,,,,,
Théâtre Français,7309.7,13311.8,11558.8,10551,5102.5,,47833.8
Opéra-Comique,19084,23877.75,20328.5,14171.3,10234.5,,87696.05
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,,,,,,,
Vaudeville,2820.5,5252.5,3266.5,2835.5,1571.5,,15746.5
Théâtre des Variétés,10731,14941,10698,7836.5,4533.5,,48740
Gymnase,4042.75,8263.75,5169,4767,1967.5,,24210
Palais-Royal,8561.15,7548.1,6961.35,5810.9,3711.45,,32592.95
Porte Saint-Martin,6159.75,11672.25,5084.5,3451.5,9655,,36023
Gaîté,6197.6,9060,8506.2,6554.85,2702.45,,33021.1
Ambigu-Comique,0,7882.25,5974.25,8854.25,3594.25,,26305
Théâtre Impérial du Cirque,10570.75,14777.75,,,,,25348.5
Folies-Dramatiques,2873.55,5042.2,2392.45,0,0,,10308.2
Délassement Comiques,2116,2497,2417,1528,848,,9406
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Bouffes Parisiens,,,,,,,
Folies Nouvelles,,,,,,,
Total,80466.75,124126.35,82356.55,66360.8,43920.65,0,397231.1
