Théâtres,1862-02-16,1862-02-17,1862-02-18,1862-02-19,1862-02-20,1862-02-21,1862-02-22,16 - 22 fév.
Opéra,,,,,,,,
Théâtre Français,3941.8,3442.7,2663.6,3476.1,2678.8,4015,3337.5,23555.5
Opéra-Comique,3938,2748,3604.5,2438,4871.75,3118,2773.5,23491.75
Théâtre des Italiens,2796,,7303,,7123.5,,7199.8,24422.3
Odéon,1784.5,725,912.75,787.75,651.75,799.75,1086.75,6748.25
Théâtre-Lyrique,3036.5,1088.25,1375.75,1117.75,1291.5,1108.75,1093.25,10111.75
Vaudeville,2694.5,2666.5,2511,2237,2271,2365,2033,16778
Théâtre des Variétés,2717,1410.5,1436.5,1209,1215.5,1126.5,1372,10487
Gymnase,2523.5,1899,1856,1557.25,1561.75,2019,1924.75,13341.25
Palais-Royal,3005.5,1862.5,1722.7,1812.25,1707.65,1911.5,2106.75,14128.85
Porte Saint-Martin,,,,,,,,
Gaîté,3876.65,3247.2,3219.55,3009.05,3073.55,3214.4,2824.75,22465.15
Ambigu-Comique,4007.75,3415.75,3213.5,3118.5,3211.5,3200.25,3005.75,23173
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2308.6,,1458.25,1461.1,1371.75,1446.5,1245.95,9292.15
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,0
Beaumarchais,,,,,,,,0
Bouffes Parisiens,1553,,,993.5,702.5,970,1051,5270
Folies Nouvelles,,,,,,,,0
Total,38183.3,22505.4,31277.1,23217.25,31732.5,25294.65,31054.75,203264.95
