Théâtres,1862-07-27,1862-07-28,1862-07-29,1862-07-30,1862-07-31,1862-08-01,1862-08-02,27 - 31  juil.,1 - 2 août
Opéra,,,,,,,,,
Théâtre Français,423.3,881.6,1008,1749.9,1039.7,770.9,972,5102.5,1742.9
Opéra-Comique,1043,1800.5,2991,1400,3000,1190.5,2931.5,10234.5,4122
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,,,
Théâtre-Lyrique,,,,,,,,,
Vaudeville,,273.5,232,725,341,309,171.5,1571.5,480.5
Théâtre des Variétés,464,596.5,839,1820,814,762,680,4533.5,1442
Gymnase,187.5,270,451.75,623,435.25,514.5,272.5,1967.5,787
Palais-Royal,417.8,,761.5,1710.5,821.65,653.2,504.25,3711.45,1157.45
Porte Saint-Martin,1662.5,1546.25,1581,2919.75,1945.5,,959.25,9655,959.25
Gaîté,311.15,479.75,417.15,869.5,624.9,329.8,287.25,2702.45,617.05
Ambigu-Comique,502.5,477.5,606,1402.75,605.5,763.5,435.25,3594.25,1198.75
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,39,161,145,323,180,179,68,848,247
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Bouffes Parisiens,,,,,,,,,
Folies Nouvelles,,,,,,,,,
Total,5050.75,6486.6,9032.4,13543.4,9807.5,5472.4,7281.5,43920.65,12753.9
