Théâtres,1862-10-19,1862-10-20,1862-10-21,1862-10-22,1862-10-23,1862-10-24,1862-10-25,19 - 25 oct.
Opéra,,,,,,,,
Théâtre Français,4491.5,2877,2747.3,1254.6,3104.8,2550.2,1513.5,18538.9
Opéra-Comique,4783.5,4669,3036,4977.5,2184,5692.5,2661.5,28004
Théâtre des Italiens,6499,,7741.9,,6957.15,,7252.9,28450.95
Odéon,1995.25,484.75,422.75,443.5,535.5,579.5,661.5,5122.75
Théâtre-Lyrique,,,,,,,,
Vaudeville,1850,2263.5,2082.5,1725,1565,1595.5,1577.5,12659
Théâtre des Variétés,3325.5,1887,1524.5,1489,1604.5,1879,1805,13514.5
Gymnase,3466.75,1292.25,1780.5,1275.25,1202.75,2431.25,1483.5,12932.25
Palais-Royal,3732.25,3027.75,3119.25,3120.25,3110.25,3002,3010.9,22122.65
Porte Saint-Martin,5713,4654.25,5033,4687.75,5184.5,5083.5,4957,35313
Gaîté,4605.75,2435,2401.75,2048.75,2680.75,2361.5,2223,18756.5
Ambigu-Comique,4008.5,1817.25,1507,1100,1362.25,1355.95,1105.45,12256.4
Théâtre Impérial du Cirque,7018.75,4816.75,4417.25,2623.25,5086.75,,5179.5,29142.25
Folies-Dramatiques,,,,,,,,
Délassement Comiques,1509.5,1186,1232,1101.5,1311,1369.5,1331,9040.5
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1724,2592,2630,2620.5,2611.5,2681,2666.5,17525.5
Folies Nouvelles,,,,,,,,
Total,54723.25,34002.5,39675.7,28466.85,38500.7,30581.4,37428.75,263379.15
